snapshot_date,product_id,product_name,warehouse_id,ABC_class,current_inventory,current_inventory_value,average_daily_demand,forecast_daily_demand,planning_daily_demand,demand_variability,standard_lead_time_days,safety_stock,reorder_point,eoq,stockout_risk,overstock_risk,recommended_order_quantity,transfer_from_warehouse,inventory_action
2026-12-28,P00006,Fernwood Pro Screen Protector 2-Pack,WH12,C,2,50.84,0.0,0.0,0.0,0.14,24,0.0,0.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00007,Ashford Pro Smart Scale,WH01,B,3,5.76,0.58,0.58,0.58,0.3,14,1.0,9.0,234.0,High,Low,234.0,WH08,TRANSFER STOCK
2026-12-28,P00007,Ashford Pro Smart Scale,WH02,B,24,46.08,0.34,0.34,0.34,2.94,14,7.0,12.0,180.0,Low,Low,0.0,WH08,HOLD
2026-12-28,P00007,Ashford Pro Smart Scale,WH03,B,3,5.76,0.41,0.41,0.41,0.36,14,1.0,7.0,198.0,High,Low,198.0,WH08,TRANSFER STOCK
2026-12-28,P00007,Ashford Pro Smart Scale,WH04,B,3,5.76,0.57,0.57,0.57,0.3,14,1.0,9.0,232.0,High,Low,232.0,WH08,TRANSFER STOCK
2026-12-28,P00007,Ashford Pro Smart Scale,WH05,B,20,38.4,0.38,0.38,0.38,4.48,14,10.0,15.0,191.0,Low,Low,0.0,WH08,HOLD
2026-12-28,P00007,Ashford Pro Smart Scale,WH06,B,5,9.6,0.33,0.33,0.33,1.59,14,4.0,9.0,176.0,Medium,Low,176.0,WH08,REORDER SOON
2026-12-28,P00007,Ashford Pro Smart Scale,WH07,B,4,7.68,0.12,0.12,0.12,0.41,14,1.0,3.0,108.0,Low,Low,0.0,WH08,HOLD
2026-12-28,P00007,Ashford Pro Smart Scale,WH08,B,32,61.44,0.21,0.21,0.21,2.87,14,7.0,10.0,141.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00007,Ashford Pro Smart Scale,WH09,B,6,11.52,0.6,0.6,0.6,2.02,14,5.0,13.0,239.0,High,Low,239.0,WH08,TRANSFER STOCK
2026-12-28,P00007,Ashford Pro Smart Scale,WH10,B,3,5.76,0.24,0.24,0.24,2.23,14,5.0,8.0,153.0,High,Low,153.0,WH08,TRANSFER STOCK
2026-12-28,P00007,Ashford Pro Smart Scale,WH11,B,15,28.8,0.19,0.19,0.19,1.17,14,3.0,6.0,134.0,Low,Low,0.0,WH08,HOLD
2026-12-28,P00007,Ashford Pro Smart Scale,WH12,B,4,7.68,0.21,0.21,0.21,0.72,14,2.0,5.0,143.0,Medium,Low,143.0,WH08,REORDER SOON
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH01,A,3,345.87,0.01,0.01,0.01,0.14,52,1.0,2.0,4.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH02,A,5,576.45,0.02,0.02,0.02,0.61,52,3.0,4.0,5.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH03,A,6,691.74,0.01,0.01,0.01,0.0,52,0.0,0.0,4.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH04,A,3,345.87,0.01,0.01,0.01,0.27,52,1.0,2.0,5.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH05,A,6,691.74,0.0,0.0,0.0,0.43,52,2.0,2.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH06,A,6,691.74,0.01,0.01,0.01,0.58,52,3.0,3.0,3.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH07,A,2,230.58,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH08,A,2,230.58,0.01,0.01,0.01,0.0,52,0.0,1.0,4.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH09,A,4,461.16,0.02,0.02,0.02,0.0,52,0.0,1.0,6.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH10,A,8,922.32,0.01,0.01,0.01,0.0,52,0.0,0.0,4.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH11,A,5,576.45,0.0,0.0,0.0,0.27,52,1.0,1.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00008,NorthPoint Everyday Plus Smart Plug,WH12,A,2,230.58,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,Low,High,0.0,WH10,REDUCE INVENTORY
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH01,A,1,12.8,0.04,0.04,0.04,0.32,29,1.0,2.0,25.0,High,Low,25.0,WH12,TRANSFER STOCK
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH02,A,8,102.4,0.03,0.03,0.03,0.57,29,2.0,3.0,22.0,Low,High,0.0,WH12,REDUCE INVENTORY
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH03,A,8,102.4,0.09,0.09,0.09,0.88,29,3.0,6.0,35.0,Low,Medium,0.0,WH12,MONITOR
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH04,A,6,76.8,0.08,0.08,0.08,1.04,29,3.0,5.0,33.0,Low,Low,0.0,WH12,HOLD
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH05,A,4,51.2,0.04,0.04,0.04,1.98,29,7.0,8.0,23.0,Medium,Medium,23.0,WH12,REORDER SOON
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH06,A,3,38.4,0.02,0.02,0.02,0.52,29,2.0,2.0,15.0,Low,High,0.0,WH12,REDUCE INVENTORY
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH07,A,2,25.6,0.02,0.02,0.02,0.54,29,2.0,2.0,15.0,Medium,High,15.0,WH12,REORDER SOON
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH08,A,2,25.6,0.01,0.01,0.01,0.19,29,1.0,1.0,11.0,Low,High,0.0,WH12,REDUCE INVENTORY
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH09,A,6,76.8,0.09,0.09,0.09,0.4,29,1.0,4.0,35.0,Low,Low,0.0,WH12,HOLD
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH10,A,7,89.6,0.02,0.02,0.02,0.3,29,1.0,2.0,18.0,Low,High,0.0,WH12,REDUCE INVENTORY
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH11,A,5,64.0,0.02,0.02,0.02,0.51,29,2.0,3.0,19.0,Low,High,0.0,WH12,REDUCE INVENTORY
2026-12-28,P00009,Vaultis Elite Camera Backpack,WH12,A,11,140.8,0.01,0.01,0.01,0.88,29,3.0,3.0,11.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH01,B,9,44.37,0.06,0.06,0.06,0.71,27,2.0,4.0,49.0,Low,High,0.0,WH05,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH02,B,14,69.02,0.06,0.06,0.06,1.14,27,4.0,6.0,46.0,Low,High,0.0,WH05,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH03,B,3,14.79,0.04,0.04,0.04,0.0,27,0.0,1.0,38.0,Low,Low,0.0,WH05,HOLD
2026-12-28,P00010,Sunneva Compact Body Wash,WH04,B,4,19.72,0.14,0.14,0.14,0.61,27,2.0,6.0,72.0,Medium,Low,72.0,WH05,REORDER SOON
2026-12-28,P00010,Sunneva Compact Body Wash,WH05,B,16,78.88,0.13,0.13,0.13,1.04,27,3.0,6.0,69.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH06,B,2,9.86,0.07,0.07,0.07,1.03,27,3.0,5.0,51.0,Medium,Low,51.0,WH05,REORDER SOON
2026-12-28,P00010,Sunneva Compact Body Wash,WH07,B,7,34.51,0.01,0.01,0.01,0.0,27,0.0,0.0,21.0,Low,High,0.0,WH05,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH08,B,8,39.44,0.02,0.02,0.02,1.04,27,3.0,3.0,24.0,Low,High,0.0,WH05,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH09,B,8,39.44,0.04,0.04,0.04,1.06,27,3.0,4.0,40.0,Low,High,0.0,WH05,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH10,B,5,24.65,0.04,0.04,0.04,0.0,27,0.0,1.0,40.0,Low,Medium,0.0,WH05,MONITOR
2026-12-28,P00010,Sunneva Compact Body Wash,WH11,B,6,29.58,0.04,0.04,0.04,0.52,27,2.0,3.0,38.0,Low,High,0.0,WH05,REDUCE INVENTORY
2026-12-28,P00010,Sunneva Compact Body Wash,WH12,B,1,4.93,0.06,0.06,0.06,0.27,27,1.0,3.0,47.0,High,Low,47.0,WH05,TRANSFER STOCK
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH01,C,4,67.84,0.01,0.01,0.01,0.0,57,0.0,1.0,12.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH02,C,1,16.96,0.0,0.0,0.0,0.32,57,2.0,2.0,0.0,Medium,High,1.0,WH04,REORDER SOON
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH03,C,4,67.84,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH04,C,5,84.8,0.0,0.0,0.0,0.19,57,1.0,1.0,0.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH05,C,3,50.88,0.01,0.01,0.01,0.0,57,0.0,1.0,12.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH06,C,3,50.88,0.01,0.01,0.01,0.0,57,0.0,1.0,11.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH07,C,4,67.84,0.0,0.0,0.0,0.24,57,1.0,1.0,0.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH08,C,4,67.84,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH09,C,3,50.88,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH10,C,4,67.84,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH11,C,3,50.88,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00011,BlueStone Ultra Pillow 2-Pack,WH12,C,3,50.88,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,Low,High,0.0,WH04,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH01,C,3,25.41,0.03,0.03,0.03,0.19,12,0.0,0.0,25.0,Low,Medium,0.0,WH07,MONITOR
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH02,C,6,50.82,0.0,0.0,0.0,0.33,12,1.0,1.0,10.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH03,C,2,16.94,0.01,0.01,0.01,0.24,12,1.0,1.0,17.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH04,C,2,16.94,0.02,0.02,0.02,0.41,12,1.0,1.0,20.0,Low,Medium,0.0,WH07,MONITOR
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH05,C,4,33.88,0.02,0.02,0.02,0.0,12,0.0,0.0,23.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH06,C,1,8.47,0.0,0.0,0.0,0.14,12,0.0,0.0,8.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH07,C,9,76.23,0.0,0.0,0.0,0.73,12,2.0,2.0,0.0,Low,High,0.0,,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH08,C,2,16.94,0.01,0.01,0.01,0.19,12,0.0,0.0,15.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH09,C,3,25.41,0.0,0.0,0.0,0.58,12,1.0,1.0,0.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH10,C,4,33.88,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH11,C,5,42.35,0.01,0.01,0.01,0.96,12,2.0,2.0,17.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00012,Ironclad Ultra Blood Pressure Monitor,WH12,C,4,33.88,0.0,0.0,0.0,0.0,12,0.0,0.0,10.0,Low,High,0.0,WH07,REDUCE INVENTORY
2026-12-28,P00013,Crestmark Everyday Whitening Kit,WH01,C,4,14.0,0.06,0.06,0.06,0.24,10,0.0,1.0,55.0,Low,Low,0.0,WH09,HOLD
