supplier_id,supplier_name,supplier_region,country,supplier_type,quality_rating,reliability_score,payment_terms_days,average_lead_time_days,on_time_delivery_rate,defect_rate,capacity_units_per_month,supplier_status,completed_po_count,late_po_count,partial_po_count,actual_late_delivery_rate,partial_delivery_rate,late_delivery_flag,quality_risk_flag,supplier_risk_score
SUP071,Ashgrove Components,East Asia,South Korea,Manufacturer,3,57.2,15,28,0.8671,0.025,21697,Active,125,23,15,0.184,0.12,0,0,30.17
SUP072,Driftline Trading Co.,South Asia,India,Manufacturer,3,52.1,15,33,0.833,0.0374,5438,Probation,1,0,0,0.0,0.0,0,0,32.9
SUP073,Timbergate Fabrication,Europe,Italy,Wholesaler,3,49.8,15,22,0.8382,0.0335,152750,Probation,229,35,37,0.15283842794759825,0.1615720524017467,0,0,34.77
SUP074,Crestmark Ltd.,Southeast Asia,Vietnam,Manufacturer,4,82.0,45,25,0.9474,0.0196,18920,Active,11,0,1,0.0,0.09090909090909091,0,0,14.11
SUP075,Ivywood Inc. (2),East Asia,China,Wholesaler,4,97.2,60,24,0.9828,0.0033,143274,Active,921,15,67,0.016286644951140065,0.0727470141150923,0,0,4.84
SUP076,Comet Corporation,Southeast Asia,Vietnam,Manufacturer,4,93.2,30,34,0.9789,0.0057,31552,Active,64,1,3,0.015625,0.046875,0,0,6.73
SUP077,Ivywood Components,Southeast Asia,Vietnam,Distributor,4,91.0,30,21,0.9869,0.0068,153885,Active,313,5,18,0.01597444089456869,0.05750798722044728,0,0,7.47
SUP078,Ivywood Manufacturing,North America,United States,Manufacturer,3,67.9,45,19,0.9556,0.0247,39943,Active,56,3,5,0.05357142857142857,0.08928571428571429,0,0,22.72
SUP079,BlueStone Corporation,North America,United States,Contract Packager,4,70.6,30,19,0.8627,0.0307,79318,Active,67,6,9,0.08955223880597014,0.13432835820895522,0,0,23.77
SUP080,Ashgrove Components (2),Europe,Germany,Manufacturer,5,88.8,45,5,0.947,0.0111,67979,Active,143,9,13,0.06293706293706294,0.09090909090909091,0,0,8.4
SUP081,Marlowe Corporation,North America,United States,Manufacturer,4,97.6,60,8,0.968,0.0042,60888,Active,127,2,12,0.015748031496062992,0.09448818897637795,0,0,5.31
SUP082,Quinlan Holdings,South Asia,India,Manufacturer,5,91.8,45,11,0.9391,0.0093,44361,Active,128,7,9,0.0546875,0.0703125,0,0,7.13
SUP083,Vantage Industries,Europe,Germany,Manufacturer,3,48.8,60,18,0.8266,0.0386,22748,Probation,53,7,12,0.1320754716981132,0.22641509433962265,0,0,36.33
SUP084,Ivywood Corporation,East Asia,China,Manufacturer,4,72.8,45,45,0.9123,0.0219,269076,Active,524,42,56,0.08015267175572519,0.10687022900763359,0,0,19.53
SUP085,Foundry Row Global,East Asia,China,Distributor,4,64.1,60,46,0.8755,0.0277,10478,Active,2,1,0,0.5,0.0,1,0,30.81
SUP086,Delta Corporation,East Asia,China,Contract Packager,4,82.5,30,51,0.9583,0.0092,29880,Active,121,4,7,0.03305785123966942,0.05785123966942149,0,0,11.59
SUP087,Cedarwood Enterprises,North America,Canada,Distributor,4,82.1,15,8,0.9603,0.0099,30246,Active,191,0,10,0.0,0.05235602094240838,0,0,11.34
SUP088,Wrenfield Corporation,South Asia,India,Manufacturer,4,76.9,45,42,0.9242,0.0158,47231,Active,122,13,17,0.10655737704918032,0.13934426229508196,0,0,16.87
SUP089,Amberton Inc.,East Asia,China,Manufacturer,5,100.0,15,31,0.9862,0.0059,18144,Active,38,1,3,0.02631578947368421,0.07894736842105263,0,0,2.21
SUP090,Everline Industries,South Asia,Bangladesh,Wholesaler,4,96.1,60,25,0.9741,0.0113,42700,Active,186,5,17,0.026881720430107527,0.0913978494623656,0,0,7.55
SUP091,Dunmore Corporation,East Asia,China,Wholesaler,5,87.1,45,23,0.9641,0.0057,24485,Active,15,1,2,0.06666666666666667,0.13333333333333333,0,0,7.19
SUP092,Delta Trading Co.,North America,Mexico,Manufacturer,3,49.2,90,11,0.8768,0.0491,4821,Probation,0,0,0,0.0,0.0,0,0,35.6
SUP093,Everline Global,South Asia,India,Contract Packager,4,84.6,30,19,0.9337,0.0154,30061,Active,138,12,12,0.08695652173913043,0.08695652173913043,0,0,13.93
SUP094,Amberton Trading Co. (2),South Asia,India,Manufacturer,3,40.0,30,54,0.7841,0.0478,8386,Probation,11,3,1,0.2727272727272727,0.09090909090909091,1,0,44.44
SUP095,Pacific Rim Fabrication,Southeast Asia,Vietnam,Wholesaler,4,71.9,45,45,0.8872,0.0238,4046,Active,7,1,0,0.14285714285714285,0.0,0,0,21.84
SUP096,Coral Bay Holdings,North America,United States,Contract Packager,5,86.5,30,7,0.9393,0.0055,34801,Active,55,6,7,0.10909090909090909,0.12727272727272726,0,0,8.58
SUP097,Jasperline Ltd.,Southeast Asia,Indonesia,Distributor,3,55.0,45,48,0.8566,0.0374,52108,Probation,188,25,35,0.13297872340425532,0.18617021276595744,0,0,33.43
SUP098,Kingsford Manufacturing,East Asia,China,Manufacturer,2,46.0,45,51,0.8434,0.0408,54486,Probation,60,7,4,0.11666666666666667,0.06666666666666667,0,1,39.56
SUP099,Highmoor Trading Co.,East Asia,China,Distributor,5,85.9,90,19,0.9374,0.0157,57082,Active,153,10,14,0.06535947712418301,0.0915032679738562,0,0,10.7
SUP100,Ironbridge Fabrication,Middle East,Turkey,Manufacturer,3,56.3,45,17,0.9216,0.035,3221,Active,2,0,0,0.0,0.0,0,0,28.82
SUP101,Sterling Holdings,Europe,Poland,Wholesaler,3,57.2,30,14,0.8704,0.0368,6216,Probation,0,0,0,0.0,0.0,0,0,30.28
SUP102,Elmsworth Inc.,North America,Mexico,Manufacturer,3,67.3,30,16,0.8977,0.0329,287664,Active,1135,105,129,0.09251101321585903,0.11365638766519824,0,0,26.98
SUP103,Novagen Enterprises,Southeast Asia,Vietnam,Distributor,4,87.7,45,22,0.9448,0.0066,8917,Active,70,2,5,0.02857142857142857,0.07142857142857142,0,0,9.65
SUP104,Brightfield Supply Co.,Middle East,Turkey,Wholesaler,3,56.5,30,25,0.857,0.0344,60022,Active,156,18,23,0.11538461538461539,0.14743589743589744,0,0,31.96
SUP105,Delta Industries,Europe,Germany,Manufacturer,5,84.5,30,13,0.9707,0.0046,13494,Active,6,0,1,0.0,0.16666666666666666,0,0,6.53
SUP106,Vaultis Group,North America,Mexico,Manufacturer,5,90.9,30,12,0.9701,0.0111,32586,Active,65,1,3,0.015384615384615385,0.046153846153846156,0,0,6.48
SUP107,Rockford Ltd.,South Asia,India,Distributor,4,69.5,30,20,0.8712,0.0302,14354,Active,9,1,2,0.1111111111111111,0.2222222222222222,0,0,24.09
SUP108,Jasperline Holdings,Southeast Asia,Vietnam,Manufacturer,4,59.4,45,57,0.8867,0.0281,56714,Active,143,20,11,0.13986013986013987,0.07692307692307693,0,0,26.64
SUP109,Delta Holdings (2),East Asia,China,Manufacturer,3,62.5,30,37,0.8762,0.0258,34797,Active,99,9,11,0.09090909090909091,0.1111111111111111,0,0,27.16
SUP110,Fernway Inc.,Europe,Poland,Manufacturer,5,96.6,45,7,0.9812,0.0011,17756,Active,12,0,2,0.0,0.16666666666666666,0,0,1.77
SUP111,Marlowe Group,South Asia,India,Manufacturer,3,53.1,30,58,0.8501,0.0387,8887,Active,2,1,0,0.5,0.0,1,0,39.99
SUP112,Coral Bay Holdings (2),East Asia,South Korea,Distributor,3,48.7,45,27,0.8368,0.0417,40455,Probation,32,6,1,0.1875,0.03125,0,0,37.71
SUP113,Vaultis Ltd.,Southeast Asia,Vietnam,Distributor,4,78.9,30,46,0.9128,0.0222,7371,Active,19,2,4,0.10526315789473684,0.21052631578947367,0,0,18.14
SUP114,Ashford Group,North America,United States,Manufacturer,5,98.8,60,7,0.9812,0.0074,48611,Active,146,4,14,0.0273972602739726,0.0958904109589041,0,0,3.09
SUP115,Brightfield Trading Co.,East Asia,South Korea,Manufacturer,4,92.2,15,39,0.9809,0.0087,609539,Active,2443,35,200,0.014326647564469915,0.08186655751125665,0,0,7.71
SUP116,Crestmark Ltd. (2),Europe,Italy,Manufacturer,3,48.7,45,13,0.8557,0.0474,140462,Probation,464,68,55,0.14655172413793102,0.11853448275862069,0,0,38.05
SUP117,Quinlan Enterprises,North America,Canada,Manufacturer,4,65.1,30,11,0.8964,0.028,67921,Active,193,19,25,0.09844559585492228,0.12953367875647667,0,0,24.04
SUP118,Ivywood Inc. (3),North America,Mexico,Distributor,2,32.0,30,18,0.7832,0.0596,26945,Probation,23,4,4,0.17391304347826086,0.17391304347826086,0,1,50.83
SUP119,Vaultis Corporation,South Asia,India,Manufacturer,3,51.3,30,42,0.8558,0.0413,3198,Probation,5,1,0,0.2,0.0,0,0,36.54
SUP120,Amberton Enterprises,North America,United States,Manufacturer,4,72.0,60,11,0.9266,0.0247,6499,Active,0,0,0,0.0,0.0,0,0,18.91
SUP121,Comet Corporation (2),North America,United States,Contract Packager,4,77.5,60,14,0.9109,0.0196,129990,Active,380,24,36,0.06315789473684211,0.09473684210526316,0,0,17.32
SUP122,Vantage Trading Co.,North America,United States,Manufacturer,2,25.9,30,14,0.7999,0.0554,11989,Inactive,4,0,0,0.0,0.0,0,1,48.58
SUP123,Graystone Ltd.,East Asia,China,Distributor,4,78.1,30,55,0.9402,0.0254,13305,Active,26,2,5,0.07692307692307693,0.19230769230769232,0,0,18.07
SUP124,Everline Inc. (2),South Asia,India,Manufacturer,3,61.4,45,46,0.8976,0.0341,24575,Active,71,4,5,0.056338028169014086,0.07042253521126761,0,0,28.51
SUP125,Vaultis Inc.,East Asia,China,Manufacturer,3,32.7,45,17,0.8641,0.0476,8766,Probation,33,7,5,0.21212121212121213,0.15151515151515152,1,0,43.67
SUP126,Driftline Manufacturing,South Asia,India,Manufacturer,4,78.0,30,51,0.8951,0.0229,7253,Active,1,0,0,0.0,0.0,0,0,17.45
SUP127,Ironbridge Manufacturing (2),Southeast Asia,Indonesia,Distributor,4,63.8,45,33,0.9205,0.0186,28056,Active,147,14,15,0.09523809523809523,0.10204081632653061,0,0,21.43
SUP128,Ashgrove Group (3),East Asia,China,Wholesaler,5,94.4,45,17,0.9811,0.004,10665,Active,5,0,1,0.0,0.2,0,0,3.15
SUP129,Novagen Fabrication,East Asia,China,Manufacturer,3,71.8,45,37,0.8943,0.0312,12681,Active,9,0,0,0.0,0.0,0,0,23.9
SUP130,Crestmark Global,North America,United States,Manufacturer,3,56.1,30,13,0.8532,0.0367,12108,Active,17,0,3,0.0,0.17647058823529413,0,0,31.02
SUP131,Palisade Components,East Asia,China,Manufacturer,4,79.3,30,22,0.9173,0.008,54215,Active,63,7,6,0.1111111111111111,0.09523809523809523,0,0,14.44
SUP132,Calderon Trading Co.,Latin America,Brazil,Distributor,4,69.7,30,34,0.9167,0.0212,22767,Active,94,7,9,0.07446808510638298,0.09574468085106383,0,0,20.09
SUP133,Highmoor Ltd.,North America,United States,Distributor,4,89.4,45,11,0.932,0.0184,24213,Active,21,1,1,0.047619047619047616,0.047619047619047616,0,0,12.69
SUP134,Timbergate Corporation,Southeast Asia,Indonesia,Distributor,4,57.0,30,26,0.8892,0.0286,59071,Active,225,22,26,0.09777777777777778,0.11555555555555555,0,0,26.79
SUP135,Vaultis Ltd. (2),North America,United States,Wholesaler,5,92.5,45,9,0.9393,0.0055,25252,Active,97,6,11,0.061855670103092786,0.1134020618556701,0,0,6.07
SUP136,Dunmore Ltd.,East Asia,China,Manufacturer,3,46.7,45,50,0.814,0.0489,21590,Probation,40,10,10,0.25,0.25,1,0,41.62
SUP137,Harborlight Group,Middle East,Turkey,Distributor,4,73.5,45,45,0.9316,0.0206,51073,Active,51,4,4,0.0784313725490196,0.0784313725490196,0,0,18.49
SUP138,Harborlight Industries,South Asia,India,Distributor,3,73.2,15,17,0.9221,0.0205,64115,Active,155,13,13,0.08387096774193549,0.08387096774193549,0,0,21.37
SUP139,Driftline Fabrication,Europe,Germany,Manufacturer,3,36.2,30,12,0.8284,0.0473,25106,Inactive,47,7,7,0.14893617021276595,0.14893617021276595,0,0,42.49
SUP140,Timbergate Enterprises (2),East Asia,China,Wholesaler,4,69.5,30,25,0.9351,0.0314,32621,Active,169,12,19,0.07100591715976332,0.11242603550295859,0,0,22.19
SUP141,Timbergate Manufacturing,South Asia,India,Manufacturer,2,33.3,45,20,0.7936,0.0545,12100,Inactive,3,0,0,0.0,0.0,0,1,46.3
SUP142,Ashford Ltd.,South Asia,India,Distributor,4,65.9,60,40,0.9208,0.0263,11050,Active,3,0,2,0.0,0.6666666666666666,0,0,21.28
SUP143,Dunmore Inc.,Latin America,Brazil,Distributor,4,76.0,30,46,0.9034,0.0207,72007,Active,319,34,29,0.10658307210031348,0.09090909090909091,0,0,18.89
SUP144,Novagen Components (2),North America,United States,Wholesaler,5,86.5,60,20,0.9351,0.0101,49597,Active,112,5,12,0.044642857142857144,0.10714285714285714,0,0,8.87
SUP145,Ivywood Enterprises,South Asia,India,Manufacturer,4,89.3,30,32,0.9758,0.0144,50191,Active,61,2,6,0.03278688524590164,0.09836065573770492,0,0,10.41
SUP146,Ashgrove Ltd.,Southeast Asia,Vietnam,Manufacturer,4,63.9,30,44,0.8824,0.0251,41068,Active,35,2,1,0.05714285714285714,0.02857142857142857,0,0,23.4
SUP147,Marlowe Global (2),Southeast Asia,Indonesia,Wholesaler,4,71.3,15,22,0.8674,0.0322,31355,Active,48,9,5,0.1875,0.10416666666666667,0,0,25.29
SUP148,Timbergate Enterprises (3),South Asia,Bangladesh,Wholesaler,2,47.1,45,26,0.8363,0.0403,66229,Probation,143,24,22,0.16783216783216784,0.15384615384615385,0,1,40.05
SUP149,Palisade Components (2),South Asia,India,Manufacturer,4,64.3,30,59,0.8983,0.021,87149,Active,409,32,50,0.07823960880195599,0.12224938875305623,0,0,22.18
SUP150,Comet Holdings,East Asia,China,Distributor,4,79.6,30,44,0.9205,0.0173,84788,Active,212,17,22,0.08018867924528301,0.10377358490566038,0,0,16.14
SUP151,Coral Bay Components (2),Europe,Germany,Manufacturer,5,88.7,45,25,0.9604,0.0098,26479,Active,24,2,3,0.08333333333333333,0.125,0,0,8.08
SUP152,Highmoor Ltd. (2),Europe,Poland,Distributor,4,70.0,45,9,0.9424,0.0225,146538,Active,263,9,21,0.034220532319391636,0.07984790874524715,0,0,19.08
SUP153,Coral Bay Industries,East Asia,China,Wholesaler,3,57.6,15,47,0.8498,0.0363,38667,Active,89,12,8,0.1348314606741573,0.0898876404494382,0,0,32.57
SUP154,Sterling Global,North America,United States,Manufacturer,4,74.7,15,12,0.9029,0.0166,61527,Active,171,9,15,0.05263157894736842,0.08771929824561403,0,0,17.46
SUP155,Cedarwood Components (2),East Asia,China,Manufacturer,4,62.5,45,40,0.9253,0.0265,41126,Active,65,4,6,0.06153846153846154,0.09230769230769231,0,0,23.17
SUP156,Rockford Group,North America,Mexico,Contract Packager,4,84.3,30,20,0.9587,0.0125,39500,Active,153,6,10,0.0392156862745098,0.06535947712418301,0,0,11.96
SUP157,Timbergate Ltd. (2),Southeast Asia,Vietnam,Wholesaler,4,56.6,30,16,0.8726,0.0285,12758,Active,21,3,1,0.14285714285714285,0.047619047619047616,0,0,27.97
SUP158,Marlowe Group (2),North America,United States,Wholesaler,4,64.0,45,23,0.8627,0.0265,66606,Active,177,17,19,0.096045197740113,0.10734463276836158,0,0,24.8
SUP159,Kingsford Manufacturing (2),North America,Canada,Manufacturer,4,64.8,30,13,0.8836,0.0323,783941,Active,2392,277,270,0.11580267558528429,0.112876254180602,0,0,25.78
