product_id,sku,product_name,category,subcategory,brand,unit_cost,selling_price,supplier_id,standard_lead_time_days,minimum_order_quantity,shelf_life_days,is_seasonal,launch_date,product_status,total_net_sales,total_units_sold,ABC_class,fast_moving_flag,slow_moving_flag,high_value_flag
P00063,AUT-00063-8630,Comet Pro Steering Wheel Cover,Automotive,Interior Accessories,Comet,38.86,72.99,SUP099,18,104,,False,2024-12-03,Active,666.54,11,C,0,1,1
P00064,BEA-00064-1476,Ashford Signature Bath Bomb Set,Beauty,Bath & Body,Ashford,7.97,23.99,SUP159,14,355,506.0,False,2026-01-26,Active,1538.04,68,C,0,0,0
P00065,ELE-00065-3745,Ridgeline Premium Video Doorbell,Electronics,Smart Home Devices,Ridgeline,35.21,61.99,SUP003,6,143,,False,2026-04-10,Active,3108.35,57,B,0,0,0
P00066,GRO-00066-2214,Aurelia Everyday Breakfast Bar Box,Grocery,Breakfast Foods,Aurelia,6.03,7.99,SUP004,13,464,381.0,False,2024-06-13,Active,263.96,35,C,0,1,1
P00067,AUT-00067-1641,Rockridge Advanced Steering Wheel Cover,Automotive,Interior Accessories,Rockridge,29.37,57.99,SUP055,13,199,,False,2024-01-29,Active,0.0,0,C,0,1,0
P00068,PER-00068-6810,UrbanNest X200 Body Wipes,Personal Care,Personal Hygiene,UrbanNest,3.79,8.99,SUP022,51,249,266.0,True,2024-10-25,Seasonal,566.95,68,C,0,0,0
P00069,CLO-00069-4232,Comet Premium Ankle Boots,Clothing,Footwear,Comet,9.62,21.99,SUP218,61,202,,False,2024-04-03,Active,585.97,29,C,0,1,0
P00070,PER-00070-5937,Rockridge Elite Toothbrush 4-Pack,Personal Care,Oral Care,Rockridge,8.37,16.99,SUP261,61,219,430.0,False,2024-01-27,Discontinued,0.0,0,C,0,1,1
P00071,AUT-00071-3187,Willowbrook Everyday Wheel Cover Set,Automotive,Tire & Wheel Care,Willowbrook,57.65,87.99,SUP115,44,129,,False,2026-01-04,Active,2381.98,28,B,0,1,1
P00072,AUT-00072-7486,Glacier Classic Roof Rack,Automotive,Exterior Accessories,Glacier,6.53,12.99,SUP153,48,221,,True,2024-03-09,Seasonal,653.29,54,C,0,0,0
P00073,AUT-00073-4667,Comet Lite Socket Wrench Set,Automotive,Tools & Equipment,Comet,10.42,15.99,SUP171,57,232,,False,2024-03-05,Active,1870.62,129,C,0,0,0
P00074,BEA-00074-2072,Willowbrook Max Lipstick Set,Beauty,Makeup,Willowbrook,4.77,11.99,SUP022,53,237,314.0,False,2024-11-20,Active,453.42,41,C,0,1,0
P00075,TOY-00075-8741,Harborlight Elite Family Board Game,Toys,Board Games & Puzzles,Harborlight,14.6,27.99,SUP136,52,203,,False,2025-06-01,Active,127.85,5,C,0,1,0
P00076,CLO-00076-3668,Driftwood Premium Wrap Dress,Clothing,Women's Apparel,Driftwood,19.63,31.99,SUP286,33,106,,False,2025-03-31,Discontinued,383.01,14,C,0,1,1
P00077,SPO-00077-7703,Solstice Deluxe Camping Tent,Sports,Outdoor Recreation,Solstice,150.19,250.99,SUP050,57,69,,False,2025-11-11,Discontinued,0.0,0,C,0,1,1
P00078,HOM-00078-7168,BlueStone Ultra Air Fryer,Home & Kitchen,Small Appliances,BlueStone,21.98,35.99,SUP022,48,168,,False,2025-11-13,Active,16652.02,496,A,1,0,0
P00079,SPO-00079-3192,Ironclad Essential Adjustable Dumbbell Set,Sports,Fitness Equipment,Ironclad,26.43,53.99,SUP073,25,213,,False,2024-01-16,Active,25595.07,510,A,1,0,0
P00080,PER-00080-3263,Willowbrook Everyday Deodorant 2-Pack,Personal Care,Personal Hygiene,Willowbrook,2.16,3.99,SUP159,12,840,297.0,False,2025-11-27,Active,3514.59,942,B,1,0,0
P00081,GRO-00081-3892,Ostrom Classic Sports Drink Case,Grocery,Beverages,Ostrom,2.77,4.18,SUP261,56,644,113.0,False,2024-02-08,Active,280.67,71,C,0,0,0
P00082,PER-00082-9033,Halcyon Series 2 Electric Toothbrush,Personal Care,Oral Care,Halcyon,1.98,3.99,SUP097,52,512,254.0,True,2026-04-13,Seasonal,3038.6,822,B,1,0,0
P00083,BEA-00083-4897,Norwell Max Cleansing Foam,Beauty,Skincare,Norwell,8.43,24.99,SUP088,36,187,539.0,False,2024-10-05,Active,3667.64,155,B,0,0,0
P00084,HOM-00084-7688,Solstice Everyday Coffee Maker,Home & Kitchen,Small Appliances,Solstice,14.85,22.99,SUP088,41,145,,False,2026-04-07,Active,753.51,35,C,0,1,0
P00085,ELE-00085-2453,Harborlight Ultra Fitness Tracker,Electronics,Wearable Tech,Harborlight,69.51,112.99,SUP253,55,102,,True,2026-06-30,Seasonal,3755.14,37,B,0,1,0
P00086,TOY-00086-1685,Timbercrest X200 Backyard Game Set,Toys,Outdoor Play,Timbercrest,7.88,19.99,SUP136,45,200,,False,2024-04-02,Active,1122.65,60,C,0,0,0
P00087,CLO-00087-3564,Foundry Everyday Plus Kids Rain Jacket,Clothing,Kids' Apparel,Foundry,24.24,37.99,SUP084,51,128,,False,2024-12-13,Active,3988.73,111,B,0,0,1
P00088,GRO-00088-2632,Quinley Premium Sparkling Water Case,Grocery,Beverages,Quinley,1.5,2.99,SUP035,31,472,452.0,False,2024-04-12,Active,579.71,204,C,0,0,0
P00089,BOO-00089-3775,ClearPath Pro Language Learning Workbook,Books,Educational & Reference,ClearPath,1.51,2.99,SUP028,50,445,,True,2026-06-02,Seasonal,402.23,145,C,0,0,0
P00090,GRO-00090-3534,Timbercrest Max Breakfast Bar Box,Grocery,Breakfast Foods,Timbercrest,4.37,6.99,SUP290,30,364,276.0,False,2025-03-29,Active,453.11,70,C,0,0,0
P00091,BEA-00091-2699,ClearPath Ultra Lipstick Set,Beauty,Makeup,ClearPath,6.54,11.99,SUP144,21,299,153.0,False,2026-02-02,Active,8900.3,802,A,1,0,0
P00092,AUT-00092-9656,Halcyon X200 Tire Pressure Gauge,Automotive,Tools & Equipment,Halcyon,28.58,39.99,SUP019,14,105,,False,2025-06-21,Active,3614.19,97,B,0,0,0
P00093,SPO-00093-3460,Quinley Ultra Yoga Towel,Sports,Yoga & Wellness,Quinley,7.5,12.99,SUP274,17,407,,False,2026-02-12,Active,1396.21,114,C,0,0,0
P00094,TOY-00094-1183,BlueStone Series 2 Water Blaster,Toys,Outdoor Play,BlueStone,30.47,73.99,SUP280,12,151,,False,2025-06-29,Active,2446.54,36,B,0,1,1
P00095,BOO-00095-4821,Cedarwood Ultra Illustrated Novel,Books,Comics & Graphic Novels,Cedarwood,4.26,7.99,SUP056,8,336,,False,2024-02-14,Active,551.14,75,C,0,0,0
P00096,PER-00096-7911,Vertex Ultra Protein Powder,Personal Care,Vitamins & Supplements,Vertex,5.11,9.99,SUP080,4,475,265.0,False,2025-03-19,Active,83.21,10,C,0,1,0
P00097,HOM-00097-8629,Amberfield Advanced Table Lamp,Home & Kitchen,Home Decor,Amberfield,4.24,8.99,SUP286,30,428,,False,2025-08-20,Active,204.25,24,C,0,1,0
P00098,GRO-00098-4343,Vanture Compact Sparkling Water Case,Grocery,Beverages,Vanture,5.6,8.99,SUP008,21,335,205.0,False,2026-06-13,Active,18213.72,2186,A,1,0,1
P00099,ELE-00099-7119,Comet Essential Smart Bulb Kit,Electronics,Smart Home Devices,Comet,15.06,25.99,SUP083,17,248,,False,2026-01-29,Discontinued,46.13,2,C,0,1,0
P00100,CLO-00100-2256,Novara Premium Wrap Dress,Clothing,Women's Apparel,Novara,9.69,20.99,SUP115,35,230,,True,2025-04-09,Seasonal,2015.58,105,C,0,0,0
P00101,BOO-00101-1602,Halcyon Elite Activity Book,Books,Children's Books,Halcyon,8.75,15.99,SUP222,49,346,,False,2026-01-04,Active,1762.51,121,C,0,0,1
P00102,SPO-00102-7715,Meridian Advanced Yoga Block Set,Sports,Yoga & Wellness,Meridian,10.17,18.99,SUP102,15,146,,False,2026-05-03,Active,9412.56,541,A,1,0,0
P00103,GRO-00103-5574,Quinley Premium Salad Dressing Set,Grocery,Condiments & Sauces,Quinley,2.7,4.99,SUP084,49,411,111.0,True,2026-03-09,Seasonal,689.65,149,C,0,0,0
P00104,ELE-00104-1030,Palisade Elite Over-Ear Headphones,Electronics,Headphones & Audio,Palisade,12.39,23.99,SUP211,27,233,,False,2026-06-20,Active,40239.83,1811,A,1,0,0
P00105,BOO-00105-3113,Palisade Everyday History Hardcover,Books,Non-Fiction,Palisade,6.77,12.99,SUP258,41,408,,False,2024-11-23,Active,1015.06,82,C,0,0,0
P00106,PER-00106-4521,Comet Essential Grooming Kit,Personal Care,Shaving & Grooming,Comet,12.95,22.99,SUP022,57,268,355.0,True,2025-02-08,Seasonal,8860.2,413,A,1,0,1
P00107,GRO-00107-1011,Sunneva Premium Granola Bites,Grocery,Snacks,Sunneva,7.1,10.99,SUP028,52,423,198.0,False,2024-01-14,Active,3585.57,352,B,1,0,1
P00108,HOM-00108-3743,Meridian Compact Area Rug,Home & Kitchen,Home Decor,Meridian,7.81,12.99,SUP185,14,233,,True,2024-05-01,Seasonal,12873.14,1065,A,1,0,0
P00109,GRO-00109-6088,Everline Advanced Protein Bar Box,Grocery,Snacks,Everline,2.3,3.64,SUP080,5,781,124.0,True,2026-01-14,Seasonal,318.44,93,C,0,0,0
P00110,BEA-00110-1415,ClearPath Signature Hair Mask,Beauty,Haircare,ClearPath,12.08,30.99,SUP190,58,154,168.0,False,2024-10-24,Active,3968.25,138,B,0,0,0
P00111,GRO-00111-2791,Foundry Premium Trail Mix,Grocery,Snacks,Foundry,5.31,8.99,SUP034,46,268,254.0,False,2025-02-04,Active,531.14,62,C,0,0,0
P00112,GRO-00112-6076,Amberfield Advanced Herbal Tea Sampler,Grocery,Beverages,Amberfield,9.58,12.99,SUP241,26,254,332.0,False,2024-11-22,Active,1517.81,130,C,0,0,1
P00113,BOO-00113-6822,Everline Premium Language Learning Workbook,Books,Educational & Reference,Everline,7.38,11.99,SUP082,11,227,,False,2026-04-25,Active,1086.43,100,C,0,0,1
P00114,GRO-00114-6994,Everline X200 Trail Mix,Grocery,Snacks,Everline,3.74,5.99,SUP084,48,263,397.0,False,2026-03-21,Discontinued,0.0,0,C,0,1,0
P00115,BEA-00115-3346,BlueStone Elite Lipstick Set,Beauty,Makeup,BlueStone,8.67,24.99,SUP036,24,309,84.0,False,2025-11-05,Active,1501.3,66,C,0,0,0
P00116,ELE-00116-2209,Everline Deluxe Lens Filter Set,Electronics,Cameras & Accessories,Everline,139.18,258.99,SUP051,32,55,,True,2026-05-27,Seasonal,51839.29,212,A,0,0,1
P00117,PER-00117-3178,Ostrom Pro Blood Pressure Monitor,Personal Care,Health Monitoring,Ostrom,7.55,11.99,SUP171,54,406,81.0,True,2025-05-13,Seasonal,139.83,13,C,0,1,0
P00118,BEA-00118-6003,Meridian Pro Hair Mask,Beauty,Haircare,Meridian,9.61,25.99,SUP164,24,369,376.0,False,2024-06-03,Active,563.4,23,C,0,1,0
P00119,GRO-00119-6316,BlueStone Premium Herbal Tea Sampler,Grocery,Beverages,BlueStone,3.24,5.99,SUP247,7,648,215.0,False,2025-08-01,Active,2797.48,503,B,1,0,0
P00120,ELE-00120-9548,Cedarwood Max Phone Case,Electronics,Mobile Accessories,Cedarwood,18.89,29.99,SUP171,60,182,,False,2024-01-19,Active,22645.21,814,A,1,0,0
P00121,BOO-00121-6315,NorthPoint Pro Bedtime Stories Collection,Books,Children's Books,NorthPoint,5.07,9.99,SUP115,37,310,,False,2025-01-17,Active,395.08,45,C,0,0,0
P00122,AUT-00122-8020,Silverpine Ultra Bluetooth Car Adapter,Automotive,Car Electronics,Silverpine,8.58,12.99,SUP241,21,386,,False,2026-01-27,Active,1690.63,141,C,0,0,0
P00123,ELE-00123-8637,NorthPoint Compact Bluetooth Speaker,Electronics,Headphones & Audio,NorthPoint,50.33,69.99,SUP008,22,94,,True,2024-06-13,Seasonal,7121.83,108,B,0,0,0
P00124,HOM-00124-4985,Foundry X200 Weighted Blanket,Home & Kitchen,Bedding & Linens,Foundry,10.08,20.99,SUP200,57,228,,False,2025-05-24,Active,9039.04,466,A,1,0,0
P00125,HOM-00125-2784,Copperfield Lite Air Fryer,Home & Kitchen,Small Appliances,Copperfield,63.07,96.99,SUP159,15,103,,False,2025-12-09,Active,2723.9,30,B,0,1,1
P00126,BOO-00126-2859,Ashford Compact History Hardcover,Books,Non-Fiction,Ashford,10.53,19.99,SUP052,50,277,,False,2025-11-16,Active,845.71,47,C,0,0,1
P00127,PER-00127-9881,Ridgeline Lite Grooming Kit,Personal Care,Shaving & Grooming,Ridgeline,7.52,13.99,SUP174,23,197,321.0,False,2025-06-23,Active,7129.06,550,B,1,0,0
P00128,BEA-00128-3470,Meridian Everyday Hair Dryer,Beauty,Haircare,Meridian,14.67,23.99,SUP294,33,152,439.0,True,2024-10-29,Seasonal,285.22,13,C,0,1,1
P00129,GRO-00129-4323,Foundry Premium Protein Bar Box,Grocery,Snacks,Foundry,3.46,5.99,SUP089,26,262,358.0,True,2024-08-08,Seasonal,322.83,58,C,0,0,0
P00130,TOY-00130-4303,Norwell Advanced Strategy Game,Toys,Board Games & Puzzles,Norwell,12.57,22.99,SUP174,29,148,,False,2024-05-24,Active,1598.94,76,C,0,0,0
P00131,TOY-00131-9728,Kestrel Everyday Card Game,Toys,Board Games & Puzzles,Kestrel,189.81,338.99,SUP117,11,44,,False,2025-11-02,Active,96204.27,307,A,1,0,1
P00132,HOM-00132-2153,Harborlight Compact Stand Mixer,Home & Kitchen,Small Appliances,Harborlight,32.01,67.99,SUP110,8,186,,False,2024-08-29,Discontinued,191.49,3,C,0,1,0
P00133,HOM-00133-2398,Harborlight Max Cookware Set,Home & Kitchen,Cookware,Harborlight,13.76,23.99,SUP077,21,269,,False,2025-08-15,Active,591.93,26,C,0,1,0
P00134,GRO-00134-6769,Vanture Lite Oatmeal Packets,Grocery,Breakfast Foods,Vanture,8.99,12.99,SUP053,14,208,247.0,True,2024-02-14,Seasonal,2423.48,198,B,0,0,1
P00135,TOY-00135-9573,Vaultis Elite Model Kit,Toys,Building Sets,Vaultis,2.55,4.99,SUP055,14,363,,True,2024-09-23,Seasonal,2169.19,467,B,1,0,0
P00136,SPO-00136-6740,UrbanNest Essential Foam Roller,Sports,Fitness Equipment,UrbanNest,18.16,26.99,SUP225,51,263,,False,2024-12-17,Active,4164.58,170,B,0,0,0
P00137,SPO-00137-9675,Brightline Series 2 Adjustable Dumbbell Set,Sports,Fitness Equipment,Brightline,28.82,58.99,SUP083,21,170,,False,2025-12-05,Active,3409.0,64,B,0,0,0
P00138,AUT-00138-5572,Vanture Ultra Steering Wheel Cover,Automotive,Interior Accessories,Vanture,2.42,3.99,SUP158,23,568,,False,2024-03-31,Active,1030.39,277,C,1,0,0
P00139,GRO-00139-3613,Vaultis Everyday Plus Granola Bites,Grocery,Snacks,Vaultis,4.58,6.99,SUP052,58,553,318.0,False,2025-03-04,Active,89.48,13,C,0,1,0
P00140,GRO-00140-2597,Cedarwood X200 Salad Dressing Set,Grocery,Condiments & Sauces,Cedarwood,11.93,15.99,SUP052,55,322,428.0,False,2025-02-26,Active,1160.9,76,C,0,0,1
P00141,ELE-00141-2828,Kestrel Series 2 Tripod Kit,Electronics,Cameras & Accessories,Kestrel,30.51,63.99,SUP164,24,93,,False,2024-10-20,Active,45634.01,768,A,1,0,0
P00142,AUT-00142-8433,Novara Compact Floor Mat Set,Automotive,Interior Accessories,Novara,23.99,37.99,SUP164,21,176,,False,2025-12-29,Discontinued,0.0,0,C,0,1,0
P00143,BOO-00143-6426,ClearPath Ultra Bedtime Stories Collection,Books,Children's Books,ClearPath,5.64,10.99,SUP150,42,407,,False,2026-06-13,Active,240.82,25,C,0,1,0
