warehouse_id,product_id,model,mae,rmse,mape,forecast_accuracy,best_model
WH05,P03618,Random Forest,6.75,7.98,85.78,14.22,1
WH03,P02102,Moving Average,5.06,7.26,51.43,48.57,0
WH03,P02102,Exponential Smoothing,4.68,7.08,48.75,51.25,0
WH03,P02102,Random Forest,4.45,6.37,42.59,57.41,1
WH04,P04614,Moving Average,1.97,2.51,40.52,59.48,1
WH04,P04614,Exponential Smoothing,2.21,2.6,50.78,49.22,0
WH04,P04614,Random Forest,2.04,2.55,56.69,43.31,0
WH03,P01034,Moving Average,6.69,7.31,133.52,0.0,0
WH03,P01034,Exponential Smoothing,5.63,6.22,103.35,0.0,0
WH03,P01034,Random Forest,5.43,6.55,116.15,0.0,1
WH02,P02102,Moving Average,3.03,3.66,62.4,37.6,0
WH02,P02102,Exponential Smoothing,2.66,3.3,50.31,49.69,1
WH02,P02102,Random Forest,2.75,3.42,44.68,55.32,0
WH04,P01155,Moving Average,3.41,4.59,46.29,53.71,1
WH04,P01155,Exponential Smoothing,3.44,4.56,51.13,48.87,0
WH04,P01155,Random Forest,3.61,4.47,77.67,22.33,0
WH02,P01034,Moving Average,7.75,8.17,132.35,0.0,0
WH02,P01034,Exponential Smoothing,7.16,8.09,94.8,5.2,0
WH02,P01034,Random Forest,6.96,7.93,74.89,25.11,1
WH01,P01034,Moving Average,5.53,5.88,180.25,0.0,0
WH01,P01034,Exponential Smoothing,5.32,5.91,176.57,0.0,0
WH01,P01034,Random Forest,4.41,5.19,109.43,0.0,1
WH05,P04614,Moving Average,5.44,7.24,137.3,0.0,0
WH05,P04614,Exponential Smoothing,5.49,7.32,134.24,0.0,0
WH05,P04614,Random Forest,4.94,6.58,162.64,0.0,1
WH01,P04614,Moving Average,4.16,4.59,48.82,51.18,0
WH01,P04614,Exponential Smoothing,3.86,4.47,40.13,59.87,1
WH01,P04614,Random Forest,4.16,4.48,53.62,46.38,0
