forecast_date,warehouse_id,product_id,forecast_horizon_days,forecast_demand_units,actual_demand_units,forecast_lower_bound,forecast_upper_bound,forecast_error,mape,forecast_accuracy
2025-03-05,WH01,P03566,60,0,10,0,0,10,100.0,0.0
2025-04-30,WH11,P03769,14,4,2,0,9,-2,100.0,0.0
2026-05-02,WH02,P02980,7,3,2,1,5,-1,50.0,50.0
2026-05-22,WH04,P03336,60,0,24,0,0,24,100.0,0.0
2026-01-04,WH02,P03817,30,43,9,0,112,-34,377.78,0.0
2025-07-11,WH02,P01679,60,0,0,0,0,0,0.0,100.0
2025-02-23,WH07,P01579,7,2,0,0,4,-2,,
2025-12-18,WH07,P01387,30,0,0,0,0,0,0.0,100.0
2026-01-29,WH05,P02164,30,1,12,0,3,11,91.67,8.33
2026-04-19,WH04,P03404,30,30,23,0,78,-7,30.43,69.57
2025-03-20,WH08,P03882,60,95,0,0,247,-95,,
2025-04-26,WH01,P03238,60,0,4,0,0,4,100.0,0.0
2025-06-29,WH01,P03218,60,18,7,0,47,-11,157.14,0.0
2026-03-26,WH07,P00581,14,0,0,0,0,0,0.0,100.0
2025-08-15,WH09,P02260,30,9,0,0,23,-9,,
2026-06-25,WH09,P04119,14,176,273,118,234,97,35.53,64.47
2026-10-15,WH06,P00215,60,74,95,0,192,21,22.11,77.89
2025-09-29,WH10,P00616,14,0,0,0,0,0,0.0,100.0
2026-08-31,WH06,P01155,60,108,17,0,245,-91,535.29,0.0
2025-07-04,WH07,P04522,14,44,60,20,68,16,26.67,73.33
2026-02-01,WH07,P02531,30,0,6,0,0,6,100.0,0.0
2025-01-11,WH06,P02824,7,2,4,0,4,2,50.0,50.0
2026-02-06,WH05,P00098,14,1,26,0,2,25,96.15,3.85
2026-10-17,WH02,P02586,7,1,0,0,2,-1,,
2026-10-13,WH08,P03787,30,22,3,0,57,-19,633.33,0.0
2026-07-02,WH04,P01495,60,42,98,0,109,56,57.14,42.86
2025-04-28,WH09,P02028,14,2,1,0,5,-1,100.0,0.0
2026-05-08,WH03,P01193,14,6,5,0,13,-1,20.0,80.0
2026-05-29,WH11,P04321,30,2,17,0,5,15,88.24,11.76
2026-07-15,WH11,P03009,7,3,4,1,5,1,25.0,75.0
2025-12-26,WH04,P03083,30,0,32,0,0,32,100.0,0.0
2025-10-07,WH04,P03509,14,6,2,0,15,-4,200.0,0.0
2025-12-13,WH12,P01356,60,12,10,0,31,-2,20.0,80.0
2026-05-08,WH07,P03155,30,9,3,0,23,-6,200.0,0.0
2025-08-02,WH03,P03609,7,0,0,0,0,0,0.0,100.0
2025-08-02,WH11,P02768,14,2,1,0,4,-1,100.0,0.0
2025-11-01,WH06,P01405,30,4,0,0,10,-4,,
2026-07-22,WH03,P03094,60,0,4,0,0,4,100.0,0.0
2025-08-26,WH02,P03105,30,5,1,0,13,-4,400.0,0.0
2025-10-04,WH07,P01124,60,0,12,0,0,12,100.0,0.0
2026-02-17,WH08,P03804,30,8,12,0,21,4,33.33,66.67
2026-03-25,WH08,P00708,30,3,2,0,8,-1,50.0,50.0
2025-12-17,WH12,P04644,14,0,0,0,0,0,0.0,100.0
2026-07-16,WH08,P02869,14,0,7,0,0,7,100.0,0.0
2025-02-28,WH12,P01465,60,151,51,0,308,-100,196.08,0.0
2026-04-11,WH12,P04269,7,3,0,1,5,-3,,
2025-06-29,WH10,P00348,60,2,1,0,5,-1,100.0,0.0
2026-01-08,WH02,P03633,30,0,4,0,0,4,100.0,0.0
2025-12-13,WH12,P03208,60,0,9,0,0,9,100.0,0.0
2025-05-25,WH04,P01660,60,123,116,0,269,-7,6.03,93.97
2026-04-30,WH03,P01155,14,19,12,7,31,-7,58.33,41.67
2025-04-17,WH09,P03887,14,24,21,13,35,-3,14.29,85.71
2025-01-20,WH01,P01556,30,3,1,0,8,-2,200.0,0.0
2026-09-30,WH09,P00925,30,0,1,0,0,1,100.0,0.0
2025-08-11,WH11,P01563,14,6,6,0,13,0,0.0,100.0
2025-03-09,WH09,P01300,14,7,23,0,15,16,69.57,30.43
2026-05-12,WH09,P00976,60,13,65,0,34,52,80.0,20.0
2025-08-27,WH08,P00452,14,2,1,0,5,-1,100.0,0.0
2025-12-01,WH04,P00212,7,2,3,0,4,1,33.33,66.67
2026-01-15,WH02,P01070,7,0,0,0,0,0,0.0,100.0
2025-10-28,WH02,P02074,14,4,3,0,9,-1,33.33,66.67
2025-01-02,WH08,P04910,60,10,17,0,26,7,41.18,58.82
2025-07-16,WH08,P04032,7,0,0,0,0,0,0.0,100.0
2025-01-23,WH08,P02962,60,4,21,0,10,17,80.95,19.05
2025-12-06,WH10,P03087,14,1,3,0,2,2,66.67,33.33
2026-06-08,WH06,P04965,7,5,2,0,10,-3,150.0,0.0
2025-03-28,WH03,P00396,30,40,54,0,104,14,25.93,74.07
2025-05-12,WH04,P03695,60,378,245,0,983,-133,54.29,45.71
2025-05-25,WH08,P02486,14,3,4,0,6,1,25.0,75.0
2025-11-11,WH09,P03210,7,5,6,1,9,1,16.67,83.33
2026-01-01,WH04,P03351,14,9,0,0,19,-9,,
2026-09-17,WH03,P00576,60,0,5,0,0,5,100.0,0.0
2026-07-27,WH04,P03242,60,102,0,0,265,-102,,
2025-05-19,WH08,P02877,60,0,135,0,0,135,100.0,0.0
2026-06-21,WH07,P04795,30,0,1,0,0,1,100.0,0.0
2026-01-10,WH09,P03019,14,0,2,0,0,2,100.0,0.0
2025-03-31,WH11,P03319,30,0,17,0,0,17,100.0,0.0
2025-06-22,WH10,P01696,7,1,1,0,2,0,0.0,100.0
2025-12-11,WH06,P03964,7,2,2,0,4,0,0.0,100.0
2025-07-15,WH04,P04888,60,0,15,0,0,15,100.0,0.0
2025-01-20,WH06,P02704,60,0,21,0,0,21,100.0,0.0
2025-01-02,WH04,P01465,7,32,25,21,43,-7,28.0,72.0
2025-07-12,WH08,P04656,60,0,5,0,0,5,100.0,0.0
2025-03-30,WH02,P01257,30,8,5,0,21,-3,60.0,40.0
2026-02-12,WH11,P02293,7,1,1,0,2,0,0.0,100.0
2025-05-04,WH12,P00880,14,0,2,0,0,2,100.0,0.0
2025-03-05,WH08,P03158,14,3,2,0,6,-1,50.0,50.0
2025-01-22,WH04,P02590,30,7,0,0,18,-7,,
2026-05-03,WH02,P04935,60,1,0,0,3,-1,,
2025-11-02,WH12,P01149,30,17,0,0,44,-17,,
2025-06-28,WH03,P04168,14,12,7,0,31,-5,71.43,28.57
2025-10-16,WH06,P04159,60,29,59,0,75,30,50.85,49.15
2025-02-25,WH11,P03719,14,3,2,0,6,-1,50.0,50.0
2025-06-04,WH07,P01061,60,0,0,0,0,0,0.0,100.0
2026-07-10,WH12,P03347,7,3,3,0,6,0,0.0,100.0
2025-12-18,WH01,P04215,7,4,5,1,7,1,20.0,80.0
2026-02-01,WH03,P03654,60,20,0,0,52,-20,,
2026-02-06,WH03,P00640,14,3,0,0,6,-3,,
2025-11-27,WH03,P00406,14,2,0,0,4,-2,,
2025-06-22,WH05,P04333,60,29,10,0,75,-19,190.0,0.0
2025-08-17,WH06,P04247,14,8,7,0,17,-1,14.29,85.71
2026-07-13,WH10,P03850,60,0,0,0,0,0,0.0,100.0
2025-06-27,WH10,P00545,7,0,0,0,0,0,0.0,100.0
2026-05-02,WH01,P00887,30,0,76,0,0,76,100.0,0.0
2025-04-01,WH09,P01295,7,1,1,0,2,0,0.0,100.0
2026-06-15,WH12,P01295,30,26,76,0,66,50,65.79,34.21
2026-04-26,WH09,P04441,30,6,3,0,16,-3,100.0,0.0
2025-09-01,WH10,P03249,7,0,0,0,0,0,0.0,100.0
2025-09-02,WH02,P04724,30,0,4,0,0,4,100.0,0.0
2026-07-12,WH11,P02774,30,6,43,0,16,37,86.05,13.95
2025-08-28,WH01,P01807,60,0,50,0,0,50,100.0,0.0
2025-08-25,WH11,P01727,60,16,20,0,42,4,20.0,80.0
2026-02-20,WH09,P00856,7,4,3,1,7,-1,33.33,66.67
2025-03-10,WH05,P04669,7,0,0,0,0,0,0.0,100.0
2026-05-02,WH07,P01349,7,5,2,1,9,-3,150.0,0.0
2025-06-05,WH10,P03495,14,10,0,0,22,-10,,
2026-03-25,WH11,P01628,30,12,8,0,31,-4,50.0,50.0
2025-02-19,WH06,P03869,60,3,3,0,8,0,0.0,100.0
2026-04-08,WH07,P03220,14,0,1,0,0,1,100.0,0.0
2026-06-07,WH09,P01196,7,1,1,0,2,0,0.0,100.0
2026-02-19,WH09,P00278,7,4,8,2,6,4,50.0,50.0
2026-01-05,WH07,P01488,60,5,28,0,13,23,82.14,17.86
2026-04-28,WH10,P03163,7,4,2,1,7,-2,100.0,0.0
2026-05-29,WH10,P00770,30,6,2,0,16,-4,200.0,0.0
2026-01-04,WH12,P03409,14,2,1,0,4,-1,100.0,0.0
2026-07-24,WH01,P03776,7,1,3,0,2,2,66.67,33.33
2026-10-31,WH04,P00651,30,1,2,0,3,1,50.0,50.0
2026-08-28,WH02,P00506,30,24,0,0,62,-24,,
2025-06-21,WH03,P03064,14,0,8,0,0,8,100.0,0.0
2025-03-28,WH01,P01565,7,1,2,0,2,1,50.0,50.0
2025-05-13,WH04,P01628,14,27,40,0,58,13,32.5,67.5
2025-05-15,WH03,P02149,7,0,0,0,0,0,0.0,100.0
2025-05-09,WH09,P02252,7,3,1,0,6,-2,200.0,0.0
2026-09-30,WH05,P02594,14,0,0,0,0,0,0.0,100.0
2026-04-29,WH12,P00793,30,3,2,0,8,-1,50.0,50.0
2025-05-13,WH01,P02229,30,15,49,0,39,34,69.39,30.61
2026-04-23,WH10,P03407,60,136,199,0,354,63,31.66,68.34
2025-01-26,WH07,P03399,60,0,65,0,0,65,100.0,0.0
2026-05-16,WH02,P00943,30,37,0,0,96,-37,,
2026-08-29,WH04,P02401,7,98,68,61,135,-30,44.12,55.88
2026-05-10,WH08,P01688,7,4,0,1,7,-4,,
2025-11-15,WH09,P01254,60,48,0,0,125,-48,,
2025-01-16,WH12,P01295,14,24,20,0,49,-4,20.0,80.0
2026-02-26,WH06,P02555,30,6,0,0,16,-6,,
2026-02-05,WH08,P02418,7,11,9,8,14,-2,22.22,77.78
2025-03-02,WH02,P00212,30,5,3,0,13,-2,66.67,33.33
2026-03-15,WH02,P01083,14,7,8,0,15,1,12.5,87.5
2026-05-29,WH08,P01203,14,3,8,0,6,5,62.5,37.5
2025-10-02,WH06,P00501,14,4,8,0,9,4,50.0,50.0
2025-04-03,WH10,P01060,60,0,0,0,0,0,0.0,100.0
2025-12-26,WH02,P04814,7,7,5,3,11,-2,40.0,60.0
2025-11-26,WH09,P04480,14,4,5,0,9,1,20.0,80.0
2025-01-20,WH01,P03741,60,273,327,0,710,54,16.51,83.49
2025-10-07,WH02,P00493,30,4,11,0,9,7,63.64,36.36
2025-06-24,WH07,P04522,7,14,14,9,19,0,0.0,100.0
2025-01-02,WH06,P01810,60,0,42,0,0,42,100.0,0.0
2025-02-24,WH02,P04682,30,78,35,9,147,-43,122.86,0.0
2026-04-29,WH02,P03424,14,6,24,0,12,18,75.0,25.0
2025-10-09,WH02,P02796,60,5,3,0,13,-2,66.67,33.33
2026-09-01,WH02,P04682,30,65,50,8,122,-15,30.0,70.0
2025-09-02,WH08,P04989,60,7,2,0,18,-5,250.0,0.0
2025-11-06,WH09,P02278,7,2,3,0,4,1,33.33,66.67
2026-09-28,WH02,P00463,30,0,0,0,0,0,0.0,100.0
2025-11-11,WH01,P04714,30,37,58,0,96,21,36.21,63.79
2026-08-11,WH02,P00769,7,1,2,0,2,1,50.0,50.0
2026-07-02,WH11,P04224,7,4,2,1,7,-2,100.0,0.0
2026-08-30,WH09,P02906,7,2,0,0,4,-2,,
2026-05-31,WH01,P03766,14,4,1,0,9,-3,300.0,0.0
2025-06-02,WH11,P03509,14,0,1,0,0,1,100.0,0.0
2026-05-05,WH10,P02434,60,0,0,0,0,0,0.0,100.0
2026-03-02,WH02,P00332,60,12,1,0,31,-11,1100.0,0.0
2025-12-24,WH02,P00882,14,0,2,0,0,2,100.0,0.0
2025-07-18,WH04,P00794,30,0,0,0,0,0,0.0,100.0
2025-12-22,WH10,P03580,30,31,0,0,81,-31,,
2025-09-21,WH12,P00857,7,0,6,0,0,6,100.0,0.0
2026-07-19,WH01,P03344,14,3,13,0,6,10,76.92,23.08
2025-11-07,WH06,P00108,7,2,1,0,4,-1,100.0,0.0
2025-12-20,WH04,P02401,14,79,166,37,121,87,52.41,47.59
2026-01-03,WH10,P04510,7,2,1,0,4,-1,100.0,0.0
2026-06-16,WH02,P02679,60,0,11,0,0,11,100.0,0.0
2026-03-02,WH08,P03817,7,1,0,0,2,-1,,
2025-10-30,WH01,P04662,60,49,90,0,127,41,45.56,54.44
2026-06-27,WH01,P01588,14,2,1,0,4,-1,100.0,0.0
2026-08-10,WH11,P03528,14,1,1,0,2,0,0.0,100.0
2026-05-21,WH12,P02326,60,7,1,0,18,-6,600.0,0.0
2026-04-01,WH02,P03347,14,5,5,0,13,0,0.0,100.0
2025-11-19,WH04,P02588,7,2,1,0,4,-1,100.0,0.0
2025-09-27,WH07,P00171,60,0,25,0,0,25,100.0,0.0
2026-09-05,WH08,P03771,60,23,24,0,60,1,4.17,95.83
2026-05-13,WH01,P00984,60,25,38,0,65,13,34.21,65.79
2026-02-13,WH02,P01072,60,35,0,0,91,-35,,
2025-07-25,WH11,P04965,60,66,8,0,172,-58,725.0,0.0
2025-05-01,WH06,P00670,14,2,3,0,4,1,33.33,66.67
2026-06-06,WH05,P00244,14,4,0,0,9,-4,,
2026-04-05,WH04,P02401,14,130,145,60,200,15,10.34,89.66
2025-02-25,WH11,P03899,60,19,306,0,49,287,93.79,6.21
2025-07-22,WH08,P00286,30,12,0,0,31,-12,,
2025-01-23,WH01,P03950,30,0,8,0,0,8,100.0,0.0
2026-01-24,WH03,P04954,30,4,0,0,10,-4,,
2025-11-03,WH02,P04145,7,1,1,0,2,0,0.0,100.0
2025-08-23,WH10,P02028,30,2,1,0,5,-1,100.0,0.0
2026-02-22,WH09,P01640,30,7,17,0,18,10,58.82,41.18
2025-11-04,WH05,P02546,7,4,7,1,7,3,42.86,57.14
2026-07-28,WH10,P01903,60,7,0,0,18,-7,,
2025-10-04,WH07,P01786,7,0,1,0,0,1,100.0,0.0
2026-08-01,WH04,P04491,60,18,11,0,47,-7,63.64,36.36
2025-09-06,WH12,P02092,7,2,1,0,4,-1,100.0,0.0
2025-03-10,WH04,P03182,60,40,4,0,104,-36,900.0,0.0
2025-09-10,WH01,P02671,7,2,1,0,4,-1,100.0,0.0
2025-05-05,WH11,P03329,60,0,3,0,0,3,100.0,0.0
2025-04-28,WH11,P03670,30,0,128,0,0,128,100.0,0.0
2025-07-21,WH12,P03347,7,7,8,0,15,1,12.5,87.5
2026-01-03,WH05,P00365,7,1,0,0,2,-1,,
2026-09-10,WH11,P03638,7,1,1,0,2,0,0.0,100.0
2025-10-08,WH11,P01034,30,122,269,47,197,147,54.65,45.35
2025-10-15,WH02,P00356,60,0,0,0,0,0,0.0,100.0
2025-04-12,WH09,P02915,30,24,54,0,62,30,55.56,44.44
2025-11-13,WH07,P02451,60,0,1,0,0,1,100.0,0.0
2025-06-19,WH04,P04048,30,0,120,0,0,120,100.0,0.0
2026-03-14,WH09,P03039,7,3,2,1,5,-1,50.0,50.0
2026-05-15,WH01,P00104,30,0,5,0,0,5,100.0,0.0
2026-08-21,WH02,P00082,7,2,2,0,4,0,0.0,100.0
2025-02-19,WH02,P01155,7,5,12,3,7,7,58.33,41.67
2026-10-31,WH01,P02906,60,0,22,0,0,22,100.0,0.0
2026-01-19,WH07,P01504,7,2,3,0,4,1,33.33,66.67
2025-03-23,WH02,P04314,60,10,24,0,26,14,58.33,41.67
2025-04-12,WH08,P04556,60,0,20,0,0,20,100.0,0.0
2026-09-20,WH04,P02401,7,76,75,42,110,-1,1.33,98.67
2026-04-24,WH11,P04621,60,0,0,0,0,0,0.0,100.0
2025-08-03,WH02,P03090,30,15,12,0,39,-3,25.0,75.0
2026-03-24,WH11,P01295,30,0,0,0,0,0,0.0,100.0
2025-02-10,WH07,P02434,30,7,0,0,18,-7,,
2025-12-14,WH11,P01019,14,16,2,0,34,-14,700.0,0.0
2026-10-31,WH03,P03967,14,8,13,0,20,5,38.46,61.54
2026-09-07,WH07,P01825,7,13,13,9,17,0,0.0,100.0
2025-09-04,WH04,P00091,30,13,8,0,34,-5,62.5,37.5
2026-07-13,WH08,P04556,30,20,0,1,39,-20,,
2026-10-27,WH05,P04075,60,0,0,0,0,0,0.0,100.0
2026-03-04,WH02,P01034,14,0,28,0,0,28,100.0,0.0
2025-08-23,WH02,P01229,7,2,4,0,4,2,50.0,50.0
2026-10-22,WH08,P03420,60,86,48,0,224,-38,79.17,20.83
2025-11-10,WH02,P02623,30,8,0,0,21,-8,,
2025-10-24,WH02,P01516,14,4,5,0,10,1,20.0,80.0
2025-01-14,WH06,P00784,30,97,8,0,252,-89,1112.5,0.0
2026-07-07,WH03,P00233,14,6,4,0,13,-2,50.0,50.0
2026-08-07,WH09,P00742,60,79,0,0,205,-79,,
2025-10-04,WH02,P02457,60,0,92,0,0,92,100.0,0.0
2026-01-10,WH02,P00864,7,0,1,0,0,1,100.0,0.0
2025-09-15,WH06,P00033,7,1,0,0,2,-1,,
2026-04-04,WH06,P01104,30,38,93,0,99,55,59.14,40.86
2026-08-08,WH02,P00691,7,2,3,0,4,1,33.33,66.67
2025-08-08,WH07,P02110,30,18,27,0,47,9,33.33,66.67
2026-05-09,WH02,P04062,60,130,148,0,338,18,12.16,87.84
2026-10-02,WH09,P00041,30,47,42,0,122,-5,11.9,88.1
2025-11-22,WH06,P00010,30,6,2,0,16,-4,200.0,0.0
2026-06-26,WH04,P02553,60,0,38,0,0,38,100.0,0.0
2026-10-25,WH06,P03050,14,7,2,0,15,-5,250.0,0.0
2026-10-19,WH04,P02517,60,20,0,0,52,-20,,
2026-05-06,WH09,P04015,60,22,0,0,57,-22,,
2026-08-27,WH09,P03164,60,17,0,0,44,-17,,
2025-02-01,WH06,P04787,14,10,6,0,22,-4,66.67,33.33
2025-10-13,WH07,P02134,60,2,2,0,5,0,0.0,100.0
2026-08-28,WH09,P03164,60,21,0,0,55,-21,,
2026-07-31,WH02,P01679,14,24,29,0,52,5,17.24,82.76
2026-02-26,WH03,P01904,30,1,1,0,3,0,0.0,100.0
2025-03-18,WH04,P02691,60,13,0,0,34,-13,,
2025-07-09,WH07,P01935,60,9,14,0,23,5,35.71,64.29
2026-07-13,WH06,P04116,30,0,2,0,0,2,100.0,0.0
2025-12-04,WH06,P01368,60,0,91,0,0,91,100.0,0.0
2025-08-22,WH10,P04793,14,2,1,0,4,-1,100.0,0.0
2025-02-02,WH01,P00029,60,0,26,0,0,26,100.0,0.0
2025-06-07,WH12,P03542,14,0,1,0,0,1,100.0,0.0
2025-10-22,WH02,P00898,60,29,37,0,75,8,21.62,78.38
2025-05-07,WH09,P02191,14,0,1,0,0,1,100.0,0.0
2025-08-01,WH06,P04092,14,3,0,0,6,-3,,
2025-09-17,WH01,P01513,60,0,0,0,0,0,0.0,100.0
2026-03-09,WH05,P04954,60,0,1,0,0,1,100.0,0.0
2026-04-05,WH11,P01763,60,12,0,0,31,-12,,
2026-05-23,WH04,P03424,7,3,9,1,5,6,66.67,33.33
2026-05-13,WH09,P02538,14,7,3,0,15,-4,133.33,0.0
2026-10-10,WH11,P04405,7,10,6,2,18,-4,66.67,33.33
2025-08-24,WH09,P00742,14,5,2,0,11,-3,150.0,0.0
2025-12-19,WH02,P04662,60,29,6,0,75,-23,383.33,0.0
2025-08-01,WH07,P00053,14,7,11,0,15,4,36.36,63.64
2025-08-29,WH01,P00298,60,1,0,0,3,-1,,
2025-06-30,WH07,P01254,7,2,2,0,4,0,0.0,100.0
2025-04-11,WH09,P03873,7,3,5,1,5,2,40.0,60.0
2026-08-21,WH06,P03061,14,4,2,0,9,-2,100.0,0.0
2026-03-23,WH05,P03327,14,5,0,0,13,-5,,
2026-03-18,WH07,P02885,60,34,1,0,88,-33,3300.0,0.0
2025-07-15,WH01,P00198,7,5,5,1,9,0,0.0,100.0
2025-01-14,WH08,P04749,14,0,0,0,0,0,0.0,100.0
2026-09-06,WH02,P02531,30,7,6,0,18,-1,16.67,83.33
2025-07-27,WH04,P03053,60,1,1,0,3,0,0.0,100.0
2025-09-01,WH02,P03549,7,0,1,0,0,1,100.0,0.0
2025-05-10,WH12,P04790,30,2,1,0,5,-1,100.0,0.0
2026-09-26,WH01,P00442,7,0,0,0,0,0,0.0,100.0
2026-03-17,WH04,P00442,60,31,10,0,81,-21,210.0,0.0
2025-08-26,WH11,P00786,30,2,6,0,5,4,66.67,33.33
2026-03-27,WH04,P02543,7,0,1,0,0,1,100.0,0.0
2026-08-11,WH05,P00244,14,2,2,0,4,0,0.0,100.0
2026-04-19,WH02,P00882,14,0,11,0,0,11,100.0,0.0
2025-06-27,WH04,P00957,60,13,12,0,34,-1,8.33,91.67
2025-06-02,WH12,P00763,30,5,5,1,9,0,0.0,100.0
2025-08-23,WH08,P03647,60,79,34,0,205,-45,132.35,0.0
2025-05-27,WH07,P04522,14,15,26,7,23,11,42.31,57.69
2026-01-27,WH09,P04119,7,84,85,64,104,1,1.18,98.82
2026-01-14,WH08,P04220,14,1,1,0,2,0,0.0,100.0
2026-04-14,WH11,P02526,30,3,10,0,8,7,70.0,30.0
2025-06-28,WH11,P03483,30,11,5,0,29,-6,120.0,0.0
2025-02-04,WH04,P01710,14,1,1,0,2,0,0.0,100.0
2025-04-12,WH08,P03396,7,1,0,0,2,-1,,
2025-06-23,WH08,P00522,7,0,3,0,0,3,100.0,0.0
2025-09-22,WH02,P02861,7,1,2,0,2,1,50.0,50.0
2026-09-25,WH06,P03430,60,5,0,0,13,-5,,
2026-01-03,WH06,P00430,14,0,2,0,0,2,100.0,0.0
2025-06-15,WH11,P03341,7,3,2,1,5,-1,50.0,50.0
2026-10-15,WH04,P02878,60,36,9,0,94,-27,300.0,0.0
2025-01-18,WH11,P00842,60,0,22,0,0,22,100.0,0.0
2025-08-06,WH07,P03415,14,8,7,0,17,-1,14.29,85.71
2026-06-26,WH02,P02818,7,4,3,1,7,-1,33.33,66.67
2026-03-29,WH12,P01752,14,2,7,0,4,5,71.43,28.57
2026-06-08,WH11,P03398,30,18,0,0,47,-18,,
2026-08-28,WH02,P01516,7,0,1,0,0,1,100.0,0.0
2026-05-17,WH11,P04659,30,0,2,0,0,2,100.0,0.0
2025-06-10,WH07,P03563,30,0,0,0,0,0,0.0,100.0
2025-03-16,WH07,P03887,30,203,155,61,345,-48,30.97,69.03
2025-01-31,WH08,P02877,7,15,10,3,27,-5,50.0,50.0
2025-09-18,WH06,P03316,14,0,5,0,0,5,100.0,0.0
2025-09-03,WH09,P02156,30,0,10,0,0,10,100.0,0.0
2025-02-27,WH10,P04277,7,6,3,1,11,-3,100.0,0.0
2025-07-21,WH04,P01807,7,1,1,0,2,0,0.0,100.0
2026-03-17,WH02,P02409,7,1,1,0,2,0,0.0,100.0
2026-04-25,WH06,P00666,14,4,1,0,9,-3,300.0,0.0
2026-10-16,WH06,P00670,14,2,3,0,4,1,33.33,66.67
2026-07-13,WH08,P03235,7,6,4,0,13,-2,50.0,50.0
2025-11-22,WH06,P03210,7,1,1,0,2,0,0.0,100.0
2026-07-29,WH02,P02975,30,60,261,0,156,201,77.01,22.99
2026-06-20,WH05,P03967,7,1,1,0,2,0,0.0,100.0
2026-01-24,WH09,P02827,14,4,4,0,9,0,0.0,100.0
2026-02-28,WH05,P01820,30,12,16,0,31,4,25.0,75.0
2026-02-28,WH09,P00882,60,0,0,0,0,0,0.0,100.0
2026-02-26,WH09,P00903,14,18,44,4,32,26,59.09,40.91
2026-09-01,WH05,P00697,60,2,4,0,5,2,50.0,50.0
2026-05-23,WH07,P03521,30,0,4,0,0,4,100.0,0.0
2025-05-08,WH02,P04066,14,3,7,0,6,4,57.14,42.86
2025-12-24,WH02,P02953,14,0,3,0,0,3,100.0,0.0
2026-10-16,WH08,P02143,14,53,40,28,78,-13,32.5,67.5
2026-10-27,WH08,P01295,14,0,5,0,0,5,100.0,0.0
2025-02-27,WH11,P03516,60,258,121,0,638,-137,113.22,0.0
2025-08-15,WH11,P02150,30,0,2,0,0,2,100.0,0.0
2026-10-08,WH01,P03683,60,15,0,0,39,-15,,
2026-04-25,WH04,P03213,7,1,1,0,2,0,0.0,100.0
2026-04-20,WH03,P04360,7,2,3,0,4,1,33.33,66.67
2026-06-05,WH03,P01655,30,19,0,0,49,-19,,
2025-06-11,WH11,P01124,60,9,0,0,23,-9,,
2025-03-21,WH05,P01455,14,0,4,0,0,4,100.0,0.0
2026-06-09,WH01,P00039,30,2,0,0,5,-2,,
2025-05-30,WH09,P00670,7,1,1,0,2,0,0.0,100.0
2026-07-01,WH11,P00033,14,13,13,0,26,0,0.0,100.0
2025-03-03,WH06,P00124,14,0,0,0,0,0,0.0,100.0
2025-11-19,WH02,P00373,60,0,6,0,0,6,100.0,0.0
2025-06-02,WH10,P03939,60,3,35,0,8,32,91.43,8.57
2025-08-13,WH08,P01072,7,3,4,1,5,1,25.0,75.0
2026-03-16,WH02,P04729,60,58,37,0,151,-21,56.76,43.24
2026-10-27,WH06,P00755,14,0,3,0,0,3,100.0,0.0
2026-10-19,WH02,P01648,60,40,34,0,104,-6,17.65,82.35
2026-06-29,WH01,P00124,60,32,47,0,83,15,31.91,68.09
2025-12-02,WH05,P02757,14,1,1,0,3,0,0.0,100.0
2026-10-23,WH10,P02164,14,1,1,0,2,0,0.0,100.0
2026-06-21,WH11,P03294,7,0,0,0,0,0,0.0,100.0
2026-04-05,WH05,P00457,60,59,19,0,153,-40,210.53,0.0
