purchase_order_id,supplier_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,po_status,ordered_units,received_units,unit_cost,purchase_value
PO000088,SUP043,WH03,2025-10-27,2025-11-14,2025-11-12,Received,551,551,3.76,2071.76
PO000089,SUP011,WH06,2026-05-12,2026-06-09,2026-06-09,Received,391,391,6.64,2596.24
PO000090,SUP290,WH02,2025-04-16,2025-05-21,2025-05-19,Received,157,157,106.89,16781.73
PO000091,SUP274,WH08,2025-02-21,2025-03-15,2025-03-14,Received,482,482,5.86,2824.52
PO000092,SUP008,WH11,2025-10-17,2025-11-07,2025-11-04,Received,335,335,5.57,1865.95
PO000093,SUP102,WH06,2025-10-17,2025-10-31,2025-10-29,Received,1170,1170,11.18,13080.6
PO000094,SUP274,WH07,2026-10-01,2026-10-23,2026-10-20,Received,664,664,6.57,4362.48
PO000095,SUP164,WH02,2026-12-08,2027-01-03,,In Transit,171,0,28.06,4798.26
PO000096,SUP058,WH03,2026-03-20,2026-03-28,2026-03-28,Received,350,350,7.09,2481.5
PO000097,SUP115,WH12,2026-01-01,2026-02-12,2026-02-11,Received,187,187,29.34,5486.58
PO000098,SUP061,WH04,2026-01-28,2026-02-13,2026-02-12,Received,9917,9917,9.77,96889.09
PO000099,SUP028,WH06,2026-07-25,2026-09-20,2026-09-17,Received,199,199,11.71,2330.29
PO000100,SUP017,WH06,2025-10-17,2025-11-01,2025-11-06,Received,339,339,5.19,1759.41
PO000101,SUP218,WH03,2026-12-19,2027-02-13,,In Transit,404,0,25.01,10104.04
PO000102,SUP211,WH02,2025-03-30,2025-04-25,2025-04-25,Partially Received,316,189,4.35,1374.6
PO000103,SUP171,WH04,2026-01-24,2026-03-24,2026-03-23,Received,491,491,5.95,2921.45
PO000104,SUP201,WH03,2025-10-20,2025-11-02,2025-11-02,Received,453,453,3.93,1780.29
PO000105,SUP075,WH11,2025-12-13,2026-01-05,2026-01-03,Partially Received,329,160,13.94,4586.26
PO000106,SUP159,WH07,2025-05-27,2025-06-10,2025-06-10,Received,311,311,10.17,3162.87
PO000107,SUP022,WH05,2026-03-04,2026-05-10,2026-06-06,Partially Received,143,113,56.76,8116.68
PO000108,SUP247,WH05,2026-07-25,2026-07-30,2026-07-28,Received,387,387,8.63,3339.81
PO000109,SUP053,WH04,2025-08-14,2025-08-25,2025-08-25,Received,156,156,26.72,4168.32
PO000110,SUP028,WH05,2026-09-24,2026-11-15,2026-11-15,Received,218,218,4.86,1059.48
PO000111,SUP043,WH07,2026-05-07,2026-05-25,2026-05-24,Received,501,501,6.74,3376.74
PO000112,SUP297,WH06,2025-12-29,2026-02-18,2026-02-18,Received,180,180,31.79,5722.2
PO000113,SUP115,WH03,2025-10-16,2025-11-19,2025-11-17,Received,720,720,17.55,12636.0
PO000114,SUP159,WH01,2026-04-17,2026-04-29,2026-04-28,Received,840,840,2.22,1864.8
PO000115,SUP274,WH01,2025-03-31,2025-04-16,2025-04-16,Received,225,225,20.22,4549.5
PO000116,SUP274,WH04,2025-10-24,2025-11-13,2025-11-13,Partially Received,164,119,34.8,5707.2
PO000117,SUP215,WH01,2025-10-21,2025-11-03,2025-11-03,Received,479,479,5.99,2869.21
PO000118,SUP061,WH06,2025-03-27,2025-04-12,2025-04-10,Received,13632,13632,9.61,131003.52
PO000119,SUP022,WH11,2026-01-27,2026-04-04,2026-04-05,Received,445,445,3.5,1557.5
PO000120,SUP061,WH01,2025-11-27,2025-12-13,2025-12-11,Partially Received,6452,4806,9.69,62519.88
PO000121,SUP061,WH04,2026-08-24,2026-09-09,2026-09-07,Received,6085,6085,9.27,56407.95
PO000122,SUP241,WH12,2025-05-27,2025-06-17,2025-06-14,Received,295,295,7.49,2209.55
PO000123,SUP274,WH07,2026-07-25,2026-08-13,2026-08-18,Received,545,545,2.04,1111.8
PO000124,SUP231,WH11,2026-01-11,2026-01-31,2026-01-30,Received,267,267,4.42,1180.14
PO000125,SUP211,WH11,2026-04-10,2026-05-02,2026-05-02,Received,349,349,10.69,3730.81
PO000126,SUP270,WH06,2026-07-14,2026-08-03,2026-08-03,Partially Received,388,313,2.97,1152.36
PO000127,SUP115,WH04,2025-11-13,2025-12-27,2025-12-24,Received,387,387,4.27,1652.49
PO000128,SUP275,WH08,2025-06-27,2025-07-01,2025-06-29,Received,259,259,9.77,2530.43
PO000129,SUP211,WH02,2025-02-21,2025-03-15,2025-03-15,Received,292,292,8.6,2511.2
PO000130,SUP241,WH05,2025-07-06,2025-08-02,2025-07-31,Received,133,133,18.08,2404.64
PO000131,SUP116,WH09,2026-02-16,2026-02-27,2026-02-25,Received,209,209,61.86,12928.74
PO000132,SUP020,WH01,2026-10-30,2026-11-08,,Cancelled,180,0,17.15,3087.0
PO000133,SUP215,WH09,2026-04-11,2026-04-25,2026-04-22,Received,280,280,7.02,1965.6
PO000134,SUP196,WH04,2025-02-04,2025-03-05,2025-03-04,Received,249,249,5.46,1359.54
PO000135,SUP176,WH07,2025-05-26,2025-07-09,2025-07-09,Received,242,242,10.06,2434.52
PO000136,SUP159,WH09,2026-03-12,2026-03-27,2026-04-04,Received,299,299,6.89,2060.11
PO000137,SUP115,WH04,2026-02-28,2026-04-06,2026-04-05,Received,780,780,1.52,1185.6
PO000138,SUP121,WH03,2026-02-18,2026-03-04,2026-03-03,Received,323,323,5.2,1679.6
PO000139,SUP022,WH12,2026-06-10,2026-08-09,2026-08-09,Received,644,644,2.57,1655.08
PO000140,SUP008,WH03,2025-06-17,2025-07-06,2025-07-16,Received,168,168,11.35,1906.8
PO000141,SUP058,WH12,2025-07-24,2025-08-01,2025-07-29,Received,264,264,7.18,1895.52
PO000142,SUP115,WH09,2025-01-16,2025-02-23,2025-02-22,Received,261,261,21.69,5661.09
PO000143,SUP102,WH06,2026-03-08,2026-03-27,2026-03-25,Received,358,358,2.83,1013.14
PO000144,SUP195,WH03,2026-05-28,2026-07-09,2026-07-07,Received,230,230,13.43,3088.9
PO000145,SUP263,WH05,2025-07-17,2025-08-24,2025-08-22,Received,176,176,13.35,2349.6
PO000146,SUP211,WH04,2025-08-31,2025-09-26,2025-09-24,Received,412,412,4.21,1734.52
PO000147,SUP131,WH04,2026-08-12,2026-09-03,2026-09-01,Received,844,844,2.54,2143.76
PO000148,SUP159,WH11,2026-05-10,2026-05-22,2026-05-21,Received,987,987,2.12,2092.44
PO000149,SUP102,WH02,2026-05-22,2026-06-09,2026-06-07,Received,357,357,3.34,1192.38
PO000150,SUP159,WH04,2026-10-14,2026-10-26,2026-10-26,Received,530,530,4.7,2491.0
PO000151,SUP012,WH02,2025-07-05,2025-07-31,2025-07-29,Received,384,384,4.6,1766.4
PO000152,SUP054,WH02,2025-04-09,2025-04-23,2025-04-22,Received,272,272,8.47,2303.84
PO000153,SUP131,WH11,2025-03-17,2025-04-08,2025-04-07,Received,885,885,2.42,2141.7
PO000154,SUP115,WH11,2026-01-15,2026-03-01,2026-02-26,Received,166,166,26.58,4412.28
PO000155,SUP012,WH01,2025-05-25,2025-06-23,2025-06-21,Received,240,240,7.0,1680.0
PO000156,SUP008,WH07,2025-12-24,2026-01-15,2026-01-23,Received,414,414,4.21,1742.94
PO000157,SUP008,WH01,2026-08-08,2026-08-28,2026-08-27,Partially Received,354,221,4.54,1607.16
PO000158,SUP241,WH10,2026-11-08,2026-12-02,2026-12-06,Received,537,537,1.5,805.5
PO000159,SUP159,WH04,2025-06-23,2025-07-09,,Cancelled,92,0,137.69,12667.48
PO000160,SUP159,WH05,2026-08-18,2026-09-01,2026-09-01,Received,699,699,25.88,18090.12
PO000161,SUP297,WH08,2025-03-30,2025-05-14,2025-05-12,Received,613,613,5.39,3304.07
PO000162,SUP149,WH12,2026-12-13,2027-02-05,,In Transit,251,0,4.37,1096.87
PO000163,SUP102,WH04,2026-04-04,2026-04-23,2026-04-21,Received,297,297,2.92,867.24
PO000164,SUP061,WH11,2025-04-18,2025-05-04,,Cancelled,7850,0,9.73,76380.5
PO000165,SUP292,WH09,2026-10-20,2026-11-19,2026-11-16,Received,221,221,11.32,2501.72
PO000166,SUP017,WH01,2025-05-06,2025-05-21,2025-05-19,Received,305,305,5.18,1579.9
PO000167,SUP179,WH11,2025-10-23,2025-11-16,2025-11-15,Received,240,240,12.42,2980.8
PO000168,SUP026,WH07,2025-03-25,2025-04-27,2025-04-25,Partially Received,135,49,42.34,5715.9
PO000169,SUP028,WH11,2026-04-29,2026-06-14,2026-06-22,Received,229,229,19.84,4543.36
PO000170,SUP073,WH02,2026-08-23,2026-09-18,2026-09-16,Received,103,103,59.87,6166.61
PO000171,SUP159,WH04,2026-07-22,2026-08-03,2026-08-08,Received,529,529,4.06,2147.74
PO000172,SUP056,WH02,2026-02-16,2026-02-24,2026-02-24,Received,287,287,5.11,1466.57
PO000173,SUP121,WH01,2026-10-21,2026-11-06,2026-11-05,Partially Received,95,69,47.02,4466.9
PO000174,SUP210,WH06,2025-05-24,2025-06-20,2025-06-19,Received,240,240,10.84,2601.6
PO000175,SUP028,WH11,2026-04-30,2026-06-27,2026-06-25,Received,210,210,16.32,3427.2
PO000176,SUP008,WH11,2025-01-20,2025-02-11,2025-02-10,Received,414,414,4.4,1821.6
PO000177,SUP164,WH01,2025-01-24,2025-02-19,2025-02-19,Received,536,536,2.03,1088.08
PO000178,SUP115,WH09,2025-04-10,2025-05-20,2025-05-17,Received,431,431,4.52,1948.12
PO000179,SUP241,WH04,2026-11-25,2026-12-18,,In Transit,349,0,3.81,1329.69
PO000180,SUP114,WH12,2025-12-06,2025-12-14,2025-12-14,Received,291,291,11.71,3407.61
PO000181,SUP115,WH07,2026-05-18,2026-06-24,2026-06-24,Received,632,632,1.54,973.28
PO000182,SUP274,WH07,2025-11-27,2025-12-17,2025-12-15,Partially Received,129,52,48.58,6266.82
PO000183,SUP258,WH09,2026-01-25,2026-03-09,2026-03-09,Received,373,373,4.35,1622.55
PO000184,SUP061,WH04,2026-03-11,2026-03-27,2026-03-24,Received,12514,12514,9.51,119008.14
PO000185,SUP179,WH04,2025-01-10,2025-01-29,2025-01-26,Received,408,408,6.33,2582.64
PO000186,SUP061,WH02,2025-06-16,2025-07-02,2025-07-01,Received,9331,9331,9.48,88457.88
PO000187,SUP274,WH09,2026-05-10,2026-05-28,2026-06-05,Received,240,240,4.44,1065.6
PO000188,SUP090,WH09,2025-03-17,2025-04-10,2025-04-08,Received,147,147,19.3,2837.1
PO000189,SUP274,WH10,2025-11-04,2025-11-25,2025-11-23,Received,503,503,4.88,2454.64
PO000190,SUP150,WH12,2026-10-31,2026-12-19,2026-12-16,Received,270,270,13.36,3607.2
PO000191,SUP102,WH11,2026-10-26,2026-11-14,2026-11-11,Received,66,66,54.12,3571.92
PO000192,SUP171,WH12,2026-01-18,2026-03-14,2026-03-11,Received,1089,1089,7.45,8113.05
PO000193,SUP140,WH11,2025-09-11,2025-10-02,2025-09-29,Partially Received,389,217,5.21,2026.69
PO000194,SUP115,WH09,2026-05-20,2026-06-28,2026-06-25,Received,264,264,5.24,1383.36
PO000195,SUP034,WH11,2025-09-02,2025-10-27,2025-10-25,Received,559,559,4.94,2761.46
PO000196,SUP273,WH03,2025-03-30,2025-06-01,2025-05-29,Received,219,219,16.71,3659.49
PO000197,SUP171,WH03,2026-09-22,2026-11-23,2026-11-20,Received,461,461,4.61,2125.21
PO000198,SUP012,WH02,2026-10-18,2026-11-14,2026-11-13,Received,161,161,18.98,3055.78
PO000199,SUP030,WH11,2026-02-06,2026-02-13,2026-02-12,Received,547,547,4.34,2373.98
PO000200,SUP218,WH08,2026-05-28,2026-07-27,2026-07-26,Received,667,667,2.94,1960.98
PO000201,SUP026,WH09,2026-02-15,2026-03-15,2026-03-13,Received,331,331,10.34,3422.54
PO000202,SUP056,WH03,2025-07-07,2025-07-13,2025-07-25,Received,301,301,12.13,3651.13
PO000203,SUP258,WH05,2025-05-07,2025-06-15,2025-06-15,Received,272,272,26.54,7218.88
PO000204,SUP121,WH06,2026-12-24,2027-01-06,,In Transit,301,0,7.53,2266.53
PO000205,SUP082,WH06,2026-09-15,2026-09-28,2026-09-25,Received,500,500,1.52,760.0
PO000206,SUP218,WH04,2026-12-31,2027-03-02,,In Transit,489,0,24.47,11965.83
PO000207,SUP258,WH10,2026-07-31,2026-09-08,2026-09-07,Received,164,164,11.17,1831.88
PO000208,SUP061,WH01,2026-08-13,2026-08-29,2026-08-29,Received,17571,17571,9.27,162883.17
PO000209,SUP034,WH04,2025-05-30,2025-07-17,2025-07-17,Partially Received,209,107,6.64,1387.76
PO000210,SUP061,WH08,2025-01-04,2025-01-20,2025-01-19,Received,14583,14583,9.61,140142.63
PO000211,SUP274,WH11,2025-11-04,2025-11-23,2025-11-30,Received,460,460,2.02,929.2
PO000212,SUP075,WH02,2025-02-22,2025-03-15,2025-03-15,Received,641,641,25.75,16505.75
PO000213,SUP281,WH04,2025-03-14,2025-04-16,2025-04-16,Received,449,449,4.15,1863.35
PO000214,SUP295,WH09,2026-08-09,2026-08-27,2026-08-27,Received,170,170,25.92,4406.4
PO000215,SUP250,WH07,2025-06-08,2025-07-25,2025-07-24,Received,387,387,6.89,2666.43
PO000216,SUP258,WH06,2026-12-04,2027-01-12,,In Transit,103,0,24.03,2475.09
PO000217,SUP032,WH09,2026-07-08,2026-09-03,2026-09-01,Received,438,438,6.66,2917.08
PO000218,SUP061,WH10,2025-06-07,2025-06-23,2025-06-21,Partially Received,16290,6851,9.48,154429.2
PO000219,SUP115,WH11,2025-08-12,2025-09-19,2025-09-17,Received,254,254,12.54,3185.16
PO000220,SUP282,WH09,2026-12-27,2027-01-11,,In Transit,532,0,4.48,2383.36
PO000221,SUP170,WH11,2025-03-22,2025-04-16,2025-04-14,Received,462,462,4.29,1981.98
PO000222,SUP159,WH02,2025-04-22,2025-05-07,2025-05-07,Received,48,48,109.09,5236.32
PO000223,SUP121,WH09,2025-12-06,2025-12-19,2025-12-16,Received,156,156,33.94,5294.64
PO000224,SUP033,WH11,2026-01-30,2026-03-20,2026-03-20,Received,191,191,32.02,6115.82
PO000225,SUP084,WH12,2025-10-19,2025-12-08,2025-12-05,Received,131,131,44.52,5832.12
PO000226,SUP259,WH06,2025-01-21,2025-02-09,2025-02-08,Partially Received,117,54,44.06,5155.02
PO000227,SUP084,WH02,2026-04-28,2026-06-18,2026-06-15,Received,392,392,5.83,2285.36
PO000228,SUP068,WH04,2026-05-02,2026-05-31,2026-05-29,Received,267,267,12.87,3436.29
PO000229,SUP043,WH06,2025-04-12,2025-04-30,2025-04-28,Received,250,250,29.64,7410.0
PO000230,SUP115,WH05,2026-05-24,2026-07-01,2026-06-29,Received,371,371,8.67,3216.57
PO000231,SUP028,WH08,2025-02-15,2025-04-09,2025-04-12,Received,420,420,4.0,1680.0
PO000232,SUP180,WH10,2025-04-11,2025-04-26,2025-04-25,Received,261,261,6.12,1597.32
PO000233,SUP245,WH05,2025-06-18,2025-07-03,2025-07-03,Received,307,307,15.9,4881.3
PO000234,SUP158,WH02,2026-10-09,2026-11-04,2026-11-04,Received,388,388,11.16,4330.08
PO000235,SUP097,WH08,2025-06-26,2025-08-13,2025-08-10,Received,574,574,2.77,1589.98
PO000236,SUP084,WH02,2025-01-07,2025-03-01,2025-02-28,Received,187,187,11.45,2141.15
PO000237,SUP027,WH09,2026-08-03,2026-09-11,2026-09-08,Received,564,564,2.2,1240.8
PO000238,SUP241,WH04,2025-02-24,2025-03-21,2025-03-19,Received,205,205,5.93,1215.65
PO000239,SUP031,WH02,2026-12-08,2027-01-03,,In Transit,185,0,37.4,6919.0
PO000240,SUP284,WH02,2025-02-08,2025-03-20,2025-03-17,Received,456,456,6.55,2986.8
PO000241,SUP192,WH07,2026-05-12,2026-07-20,2026-07-19,Received,240,240,88.63,21271.2
PO000242,SUP071,WH08,2025-10-14,2025-11-09,2025-11-09,Received,498,498,28.42,14153.16
PO000243,SUP064,WH10,2026-12-20,2026-12-30,,In Transit,312,0,9.15,2854.8
PO000244,SUP052,WH09,2025-04-09,2025-06-13,2025-06-15,Received,375,375,5.47,2051.25
PO000245,SUP274,WH02,2026-09-03,2026-09-21,2026-09-19,Received,536,536,2.5,1340.0
PO000246,SUP267,WH06,2025-11-14,2025-12-05,2025-12-02,Received,296,296,11.45,3389.2
PO000247,SUP292,WH03,2025-08-21,2025-09-20,2025-09-20,Received,325,325,11.51,3740.75
PO000248,SUP137,WH04,2026-10-23,2026-12-11,2026-12-10,Received,151,151,15.68,2367.68
PO000249,SUP231,WH01,2026-11-08,2026-11-25,2026-11-22,Received,554,554,4.82,2670.28
PO000250,SUP102,WH09,2025-09-01,2025-09-16,2025-09-16,Received,491,491,3.6,1767.6
PO000251,SUP018,WH06,2026-06-15,2026-08-09,2026-08-07,Received,198,198,9.12,1805.76
PO000252,SUP274,WH08,2025-01-16,2025-02-05,2025-02-02,Received,439,439,6.15,2699.85
PO000253,SUP135,WH04,2026-12-08,2026-12-17,,In Transit,374,0,4.13,1544.62
PO000254,SUP250,WH02,2026-06-19,2026-08-04,2026-08-01,Received,415,415,5.86,2431.9
PO000255,SUP080,WH04,2025-04-30,2025-05-05,2025-05-03,Received,142,142,14.59,2071.78
PO000256,SUP052,WH12,2026-09-08,2026-10-28,2026-10-25,Received,73,73,78.79,5751.67
PO000257,SUP055,WH08,2026-06-24,2026-07-06,2026-07-05,Received,226,226,13.65,3084.9
PO000258,SUP075,WH09,2025-11-10,2025-12-01,2025-11-29,Received,565,565,26.66,15062.9
PO000259,SUP149,WH01,2026-09-19,2026-11-17,2026-11-15,Received,208,208,12.3,2558.4
PO000260,SUP032,WH09,2025-06-15,2025-07-31,2025-07-31,Received,582,582,4.07,2368.74
PO000261,SUP061,WH01,2025-08-04,2025-08-20,2025-08-17,Received,10975,10975,9.62,105579.5
PO000262,SUP073,WH12,2026-04-27,2026-05-16,2026-05-22,Received,279,279,15.19,4238.01
PO000263,SUP171,WH11,2025-02-06,2025-03-25,2025-03-23,Partially Received,323,257,7.72,2493.56
PO000264,SUP032,WH06,2025-02-07,2025-04-02,2025-04-13,Received,861,861,1.92,1653.12
PO000265,SUP115,WH06,2025-05-11,2025-06-26,2025-06-27,Received,277,277,4.3,1191.1
PO000266,SUP176,WH08,2025-04-23,2025-06-17,2025-06-17,Partially Received,581,343,4.65,2701.65
PO000267,SUP131,WH11,2026-07-23,2026-08-17,2026-08-15,Received,346,346,7.84,2712.64
PO000268,SUP261,WH02,2025-08-27,2025-10-24,2025-10-23,Received,384,384,7.96,3056.64
PO000269,SUP275,WH07,2025-08-15,2025-08-20,2025-08-20,Received,313,313,6.66,2084.58
PO000270,SUP277,WH09,2026-08-13,2026-10-09,2026-10-08,Received,459,459,9.71,4456.89
